index,type,start_time,duration
0,CL,0,500
1,QC,500,500000
2,QL,500500,20000
3,QC,520500,500000
4,QL,1020500,20000
5,CL,1040500,2500
6,CC,1043000,100000
7,CL,1143000,4000
8,CL,500,500
9,QC,1040500,500000
10,QL,1540500,20000
11,QC,1560500,500000
12,QL,2060500,20000
13,CL,2080500,2500
14,CC,2083000,100000
15,CL,2183000,4000
16,CL,227000,500
17,QC,2080500,500000
18,QL,2580500,20000
19,QC,2600500,500000
20,QL,3100500,20000
21,CL,3120500,2500
22,CC,3123000,100000
23,CL,3223000,4000
24,CL,1267000,500
25,QC,3120500,500000
26,QL,3620500,20000
27,QC,3640500,500000
28,QL,4140500,20000
29,CL,4160500,2500
30,CC,4163000,100000
31,CL,4263000,4000
32,CL,2307000,500
33,QC,4160500,500000
34,QL,4660500,20000
35,QC,4680500,500000
36,QL,5180500,20000
37,CL,5200500,2500
38,CC,5203000,100000
39,CL,5303000,4000
40,CL,3347000,500
41,QC,5200500,500000
42,QL,5700500,20000
43,QC,5720500,500000
44,QL,6220500,20000
45,CL,6240500,2500
46,CC,6243000,100000
47,CL,6343000,4000
48,CL,4387000,500
49,QC,6240500,500000
50,QL,6740500,20000
51,QC,6760500,500000
52,QL,7260500,20000
53,CL,7280500,2500
54,CC,7283000,100000
55,CL,7383000,4000
56,CL,5427000,500
57,QC,7280500,500000
58,QL,7780500,20000
59,QC,7800500,500000
60,QL,8300500,20000
61,CL,8320500,2500
62,CC,8323000,100000
63,CL,8423000,4000
64,CL,6467000,500
65,QC,8320500,500000
66,QL,8820500,20000
67,QC,8840500,500000
68,QL,9340500,20000
69,CL,9360500,2500
70,CC,9363000,100000
71,CL,9463000,4000
72,CL,1000,500
73,QC,9360500,500000
74,QL,9860500,15000
75,QC,9875500,500000
76,QL,10375500,15000
77,QC,10390500,500000
78,QL,10890500,15000
79,QC,10905500,500000
80,QL,11405500,15000
81,QC,11420500,500000
82,QL,11920500,15000
83,CL,11935500,2500
84,CC,11938000,100000
85,CC,12038000,100000
86,CC,12138000,100000
87,CC,12238000,100000
88,CC,12338000,100000
89,CL,12438000,5000
90,CL,1500,500
91,QC,11935500,500000
92,QL,12435500,15000
93,QC,12450500,500000
94,QL,12950500,15000
95,QC,12965500,500000
96,QL,13465500,15000
97,QC,13480500,500000
98,QL,13980500,15000
99,QC,13995500,500000
100,QL,14495500,15000
101,CL,14510500,2500
102,CC,14513000,100000
103,CC,14613000,100000
104,CC,14713000,100000
105,CC,14813000,100000
106,CC,14913000,100000
107,CL,15013000,5000
108,CL,2000,500
109,QC,14510500,500000
110,QL,15010500,15000
111,QC,15025500,500000
112,QL,15525500,15000
113,QC,15540500,500000
114,QL,16040500,15000
115,QC,16055500,500000
116,QL,16555500,15000
117,QC,16570500,500000
118,QL,17070500,15000
119,CL,17085500,2500
120,CC,17088000,100000
121,CC,17188000,100000
122,CC,17288000,100000
123,CC,17388000,100000
124,CC,17488000,100000
125,CL,17588000,5000
126,CL,168000,500
127,QC,17085500,500000
128,QL,17585500,15000
129,QC,17600500,500000
130,QL,18100500,15000
131,QC,18115500,500000
132,QL,18615500,15000
133,QC,18630500,500000
134,QL,19130500,15000
135,QC,19145500,500000
136,QL,19645500,15000
137,CL,19660500,2500
138,CC,19663000,100000
139,CC,19763000,100000
140,CC,19863000,100000
141,CC,19963000,100000
142,CC,20063000,100000
143,CL,20163000,5000
144,CL,2743000,500
145,QC,19660500,500000
146,QL,20160500,15000
147,QC,20175500,500000
148,QL,20675500,15000
149,QC,20690500,500000
150,QL,21190500,15000
151,QC,21205500,500000
152,QL,21705500,15000
153,QC,21720500,500000
154,QL,22220500,15000
155,CL,22235500,2500
156,CC,22238000,100000
157,CC,22338000,100000
158,CC,22438000,100000
159,CC,22538000,100000
160,CC,22638000,100000
161,CL,22738000,5000
162,CL,5318000,500
163,QC,22235500,500000
164,QL,22735500,15000
165,QC,22750500,500000
166,QL,23250500,15000
167,QC,23265500,500000
168,QL,23765500,15000
169,QC,23780500,500000
170,QL,24280500,15000
171,QC,24295500,500000
172,QL,24795500,15000
173,CL,24810500,2500
174,CC,24813000,100000
175,CC,24913000,100000
176,CC,25013000,100000
177,CC,25113000,100000
178,CC,25213000,100000
179,CL,25313000,5000
180,CL,7893000,500
181,QC,24810500,500000
182,QL,25310500,15000
183,QC,25325500,500000
184,QL,25825500,15000
185,QC,25840500,500000
186,QL,26340500,15000
187,QC,26355500,500000
188,QL,26855500,15000
189,QC,26870500,500000
190,QL,27370500,15000
191,CL,27385500,2500
192,CC,27388000,100000
193,CC,27488000,100000
194,CC,27588000,100000
195,CC,27688000,100000
196,CC,27788000,100000
197,CL,27888000,5000
198,CL,10468000,500
199,QC,27385500,500000
200,QL,27885500,15000
201,QC,27900500,500000
202,QL,28400500,15000
203,QC,28415500,500000
204,QL,28915500,15000
205,QC,28930500,500000
206,QL,29430500,15000
207,QC,29445500,500000
208,QL,29945500,15000
209,CL,29960500,2500
210,CC,29963000,100000
211,CC,30063000,100000
212,CC,30163000,100000
213,CC,30263000,100000
214,CC,30363000,100000
215,CL,30463000,5000
216,CL,13043000,500
217,QC,29960500,500000
218,QL,30460500,15000
219,QC,30475500,500000
220,QL,30975500,15000
221,QC,30990500,500000
222,QL,31490500,15000
223,QC,31505500,500000
224,QL,32005500,15000
225,QC,32020500,500000
226,QL,32520500,15000
227,CL,32535500,2500
228,CC,32538000,100000
229,CC,32638000,100000
230,CC,32738000,100000
231,CC,32838000,100000
232,CC,32938000,100000
233,CL,33038000,5000
