index,type,start_time,duration
0,CL,0,500
1,QC,500,500000
2,QC,500500,500000
3,QL,1000500,202000
4,CC,1202500,100000
5,QL,1302500,20000
6,CL,1322500,500
7,CC,1323000,100000
8,QL,1423000,20000
9,CL,1443000,1000
10,CL,1444000,500
11,QC,1444500,500000
12,QC,1944500,500000
13,QL,2444500,202000
14,CC,2646500,100000
15,QL,2746500,20000
16,CL,2766500,500
17,CC,2767000,100000
18,QL,2867000,20000
19,CL,2887000,1000
20,CL,2888000,500
21,QC,2888500,500000
22,QC,3388500,500000
23,QL,3888500,202000
24,CC,4090500,100000
25,QL,4190500,20000
26,CL,4210500,500
27,CC,4211000,100000
28,QL,4311000,20000
29,CL,4331000,1000
30,CL,4332000,500
31,QC,4332500,500000
32,QC,4832500,500000
33,QL,5332500,202000
34,CC,5534500,100000
35,QL,5634500,20000
36,CL,5654500,500
37,CC,5655000,100000
38,QL,5755000,20000
39,CL,5775000,1000
40,CL,5776000,500
41,QC,5776500,500000
42,QC,6276500,500000
43,QL,6776500,202000
44,CC,6978500,100000
45,QL,7078500,20000
46,CL,7098500,500
47,CC,7099000,100000
48,QL,7199000,20000
49,CL,7219000,1000
50,CL,7220000,500
51,QC,7220500,500000
52,QC,7720500,500000
53,QL,8220500,202000
54,CC,8422500,100000
55,QL,8522500,20000
56,CL,8542500,500
57,CC,8543000,100000
58,QL,8643000,20000
59,CL,8663000,1000
60,CL,8664000,500
61,QC,8664500,500000
62,QC,9164500,500000
63,QL,9664500,202000
64,CC,9866500,100000
65,QL,9966500,20000
66,CL,9986500,500
67,CC,9987000,100000
68,QL,10087000,20000
69,CL,10107000,1000
70,CL,10108000,500
71,QC,10108500,500000
72,QC,10608500,500000
73,QL,11108500,202000
74,CC,11310500,100000
75,QL,11410500,20000
76,CL,11430500,500
77,CC,11431000,100000
78,QL,11531000,20000
79,CL,11551000,1000
80,CL,11552000,500
81,QC,11552500,500000
82,QC,12052500,500000
83,QL,12552500,202000
84,CC,12754500,100000
85,QL,12854500,20000
86,CL,12874500,500
87,CC,12875000,100000
88,QL,12975000,20000
89,CL,12995000,1000
90,CL,12996000,500
91,QC,12996500,500000
92,QL,13496500,15000
93,QC,13511500,500000
94,QL,14011500,15000
95,QC,14026500,500000
96,QL,14526500,15000
97,QC,14541500,500000
98,QL,15041500,15000
99,QC,15056500,500000
100,QL,15556500,15000
101,CL,15571500,2500
102,CC,15574000,100000
103,CC,15674000,100000
104,CC,15774000,100000
105,CC,15874000,100000
106,CC,15974000,100000
107,CL,16074000,5000
108,CL,16079000,500
109,QC,16079500,500000
110,QL,16579500,15000
111,QC,16594500,500000
112,QL,17094500,15000
113,QC,17109500,500000
114,QL,17609500,15000
115,QC,17624500,500000
116,QL,18124500,15000
117,QC,18139500,500000
118,QL,18639500,15000
119,CL,18654500,2500
120,CC,18657000,100000
121,CC,18757000,100000
122,CC,18857000,100000
123,CC,18957000,100000
124,CC,19057000,100000
125,CL,19157000,5000
126,CL,19162000,500
127,QC,19162500,500000
128,QL,19662500,15000
129,QC,19677500,500000
130,QL,20177500,15000
131,QC,20192500,500000
132,QL,20692500,15000
133,QC,20707500,500000
134,QL,21207500,15000
135,QC,21222500,500000
136,QL,21722500,15000
137,CL,21737500,2500
138,CC,21740000,100000
139,CC,21840000,100000
140,CC,21940000,100000
141,CC,22040000,100000
142,CC,22140000,100000
143,CL,22240000,5000
144,CL,22245000,500
145,QC,22245500,500000
146,QL,22745500,15000
147,QC,22760500,500000
148,QL,23260500,15000
149,QC,23275500,500000
150,QL,23775500,15000
151,QC,23790500,500000
152,QL,24290500,15000
153,QC,24305500,500000
154,QL,24805500,15000
155,CL,24820500,2500
156,CC,24823000,100000
157,CC,24923000,100000
158,CC,25023000,100000
159,CC,25123000,100000
160,CC,25223000,100000
161,CL,25323000,5000
162,CL,25328000,500
163,QC,25328500,500000
164,QL,25828500,15000
165,QC,25843500,500000
166,QL,26343500,15000
167,QC,26358500,500000
168,QL,26858500,15000
169,QC,26873500,500000
170,QL,27373500,15000
171,QC,27388500,500000
172,QL,27888500,15000
173,CL,27903500,2500
174,CC,27906000,100000
175,CC,28006000,100000
176,CC,28106000,100000
177,CC,28206000,100000
178,CC,28306000,100000
179,CL,28406000,5000
180,CL,28411000,500
181,QC,28411500,500000
182,QL,28911500,15000
183,QC,28926500,500000
184,QL,29426500,15000
185,QC,29441500,500000
186,QL,29941500,15000
187,QC,29956500,500000
188,QL,30456500,15000
189,QC,30471500,500000
190,QL,30971500,15000
191,CL,30986500,2500
192,CC,30989000,100000
193,CC,31089000,100000
194,CC,31189000,100000
195,CC,31289000,100000
196,CC,31389000,100000
197,CL,31489000,5000
198,CL,31494000,500
199,QC,31494500,500000
200,QL,31994500,15000
201,QC,32009500,500000
202,QL,32509500,15000
203,QC,32524500,500000
204,QL,33024500,15000
205,QC,33039500,500000
206,QL,33539500,15000
207,QC,33554500,500000
208,QL,34054500,15000
209,CL,34069500,2500
210,CC,34072000,100000
211,CC,34172000,100000
212,CC,34272000,100000
213,CC,34372000,100000
214,CC,34472000,100000
215,CL,34572000,5000
216,CL,34577000,500
217,QC,34577500,500000
218,QL,35077500,15000
219,QC,35092500,500000
220,QL,35592500,15000
221,QC,35607500,500000
222,QL,36107500,15000
223,QC,36122500,500000
224,QL,36622500,15000
225,QC,36637500,500000
226,QL,37137500,15000
227,CL,37152500,2500
228,CC,37155000,100000
229,CC,37255000,100000
230,CC,37355000,100000
231,CC,37455000,100000
232,CC,37555000,100000
233,CL,37655000,5000
234,CL,37660000,500
235,QC,37660500,500000
236,QL,38160500,15000
237,QC,38175500,500000
238,QL,38675500,15000
239,QC,38690500,500000
240,QL,39190500,15000
241,QC,39205500,500000
242,QL,39705500,15000
243,QC,39720500,500000
244,QL,40220500,15000
245,CL,40235500,2500
246,CC,40238000,100000
247,CC,40338000,100000
248,CC,40438000,100000
249,CC,40538000,100000
250,CC,40638000,100000
251,CL,40738000,5000
