index,type,start_time,duration
0,CL,0,500
1,QC,500,500000
2,QL,500500,15000
3,QC,515500,500000
4,QL,1015500,15000
5,QC,1030500,500000
6,QL,1530500,15000
7,QC,1545500,500000
8,QL,2045500,15000
9,QC,2060500,500000
10,QL,2560500,15000
11,CL,2575500,2500
12,CC,2578000,100000
13,CC,2678000,100000
14,CC,2778000,100000
15,CC,2878000,100000
16,CC,2978000,100000
17,CL,3078000,5000
18,CL,3083000,500
19,QC,3083500,500000
20,QL,3583500,15000
21,QC,3598500,500000
22,QL,4098500,15000
23,QC,4113500,500000
24,QL,4613500,15000
25,QC,4628500,500000
26,QL,5128500,15000
27,QC,5143500,500000
28,QL,5643500,15000
29,CL,5658500,2500
30,CC,5661000,100000
31,CC,5761000,100000
32,CC,5861000,100000
33,CC,5961000,100000
34,CC,6061000,100000
35,CL,6161000,5000
36,CL,6166000,500
37,QC,6166500,500000
38,QL,6666500,15000
39,QC,6681500,500000
40,QL,7181500,15000
41,QC,7196500,500000
42,QL,7696500,15000
43,QC,7711500,500000
44,QL,8211500,15000
45,QC,8226500,500000
46,QL,8726500,15000
47,CL,8741500,2500
48,CC,8744000,100000
49,CC,8844000,100000
50,CC,8944000,100000
51,CC,9044000,100000
52,CC,9144000,100000
53,CL,9244000,5000
54,CL,9249000,500
55,QC,9249500,500000
56,QL,9749500,15000
57,QC,9764500,500000
58,QL,10264500,15000
59,QC,10279500,500000
60,QL,10779500,15000
61,QC,10794500,500000
62,QL,11294500,15000
63,QC,11309500,500000
64,QL,11809500,15000
65,CL,11824500,2500
66,CC,11827000,100000
67,CC,11927000,100000
68,CC,12027000,100000
69,CC,12127000,100000
70,CC,12227000,100000
71,CL,12327000,5000
72,CL,12332000,500
73,QC,12332500,500000
74,QL,12832500,15000
75,QC,12847500,500000
76,QL,13347500,15000
77,QC,13362500,500000
78,QL,13862500,15000
79,QC,13877500,500000
80,QL,14377500,15000
81,QC,14392500,500000
82,QL,14892500,15000
83,CL,14907500,2500
84,CC,14910000,100000
85,CC,15010000,100000
86,CC,15110000,100000
87,CC,15210000,100000
88,CC,15310000,100000
89,CL,15410000,5000
90,CL,15415000,500
91,QC,15415500,500000
92,QL,15915500,15000
93,QC,15930500,500000
94,QL,16430500,15000
95,QC,16445500,500000
96,QL,16945500,15000
97,QC,16960500,500000
98,QL,17460500,15000
99,QC,17475500,500000
100,QL,17975500,15000
101,CL,17990500,2500
102,CC,17993000,100000
103,CC,18093000,100000
104,CC,18193000,100000
105,CC,18293000,100000
106,CC,18393000,100000
107,CL,18493000,5000
108,CL,18498000,500
109,QC,18498500,500000
110,QL,18998500,15000
111,QC,19013500,500000
112,QL,19513500,15000
113,QC,19528500,500000
114,QL,20028500,15000
115,QC,20043500,500000
116,QL,20543500,15000
117,QC,20558500,500000
118,QL,21058500,15000
119,CL,21073500,2500
120,CC,21076000,100000
121,CC,21176000,100000
122,CC,21276000,100000
123,CC,21376000,100000
124,CC,21476000,100000
125,CL,21576000,5000
126,CL,21581000,500
127,QC,21581500,500000
128,QL,22081500,15000
129,QC,22096500,500000
130,QL,22596500,15000
131,QC,22611500,500000
132,QL,23111500,15000
133,QC,23126500,500000
134,QL,23626500,15000
135,QC,23641500,500000
136,QL,24141500,15000
137,CL,24156500,2500
138,CC,24159000,100000
139,CC,24259000,100000
140,CC,24359000,100000
141,CC,24459000,100000
142,CC,24559000,100000
143,CL,24659000,5000
144,CL,24664000,500
145,QC,24664500,500000
146,QL,25164500,15000
147,QC,25179500,500000
148,QL,25679500,15000
149,QC,25694500,500000
150,QL,26194500,15000
151,QC,26209500,500000
152,QL,26709500,15000
153,QC,26724500,500000
154,QL,27224500,15000
155,CL,27239500,2500
156,CC,27242000,100000
157,CC,27342000,100000
158,CC,27442000,100000
159,CC,27542000,100000
160,CC,27642000,100000
161,CL,27742000,5000
162,CL,27747000,500
163,QL,27747500,11000
164,QC,27758500,500000
165,QL,28258500,221000
166,CL,28479500,1000
167,QC,28480500,500000
168,CC,28980500,100000
169,CC,29080500,100000
170,QL,29180500,19000
171,QL,29199500,8000
172,CL,29207500,500
173,CL,29208000,500
174,QL,29208500,11000
175,QC,29219500,500000
176,QL,29719500,221000
177,CL,29940500,1000
178,QC,29941500,500000
179,CC,30441500,100000
180,CC,30541500,100000
181,QL,30641500,19000
182,QL,30660500,8000
183,CL,30668500,500
184,CL,30669000,500
185,QL,30669500,11000
186,QC,30680500,500000
187,QL,31180500,221000
188,CL,31401500,1000
189,QC,31402500,500000
190,CC,31902500,100000
191,CC,32002500,100000
192,QL,32102500,19000
193,QL,32121500,8000
194,CL,32129500,500
195,CL,32130000,500
196,QL,32130500,11000
197,QC,32141500,500000
198,QL,32641500,221000
199,CL,32862500,1000
200,QC,32863500,500000
201,CC,33363500,100000
202,CC,33463500,100000
203,QL,33563500,19000
204,QL,33582500,8000
205,CL,33590500,500
206,CL,33591000,500
207,QL,33591500,11000
208,QC,33602500,500000
209,QL,34102500,221000
210,CL,34323500,1000
211,QC,34324500,500000
212,CC,34824500,100000
213,CC,34924500,100000
214,QL,35024500,19000
215,QL,35043500,8000
216,CL,35051500,500
217,CL,35052000,500
218,QL,35052500,11000
219,QC,35063500,500000
220,QL,35563500,221000
221,CL,35784500,1000
222,QC,35785500,500000
223,CC,36285500,100000
224,CC,36385500,100000
225,QL,36485500,19000
226,QL,36504500,8000
227,CL,36512500,500
228,CL,36513000,500
229,QL,36513500,11000
230,QC,36524500,500000
231,QL,37024500,221000
232,CL,37245500,1000
233,QC,37246500,500000
234,CC,37746500,100000
235,CC,37846500,100000
236,QL,37946500,19000
237,QL,37965500,8000
238,CL,37973500,500
239,CL,37974000,500
240,QL,37974500,11000
241,QC,37985500,500000
242,QL,38485500,221000
243,CL,38706500,1000
244,QC,38707500,500000
245,CC,39207500,100000
246,CC,39307500,100000
247,QL,39407500,19000
248,QL,39426500,8000
249,CL,39434500,500
250,CL,39435000,500
251,QL,39435500,11000
252,QC,39446500,500000
253,QL,39946500,221000
254,CL,40167500,1000
255,QC,40168500,500000
256,CC,40668500,100000
257,CC,40768500,100000
258,QL,40868500,19000
