index,type,start_time,duration
0,CL,0,500
1,QC,500,500000
2,QC,500500,500000
3,QL,1000500,202000
4,CC,1202500,100000
5,QL,1302500,20000
6,CL,1322500,500
7,CC,1323000,100000
8,QL,1423000,20000
9,CL,1443000,1000
10,CL,500,500
11,QC,1443000,500000
12,QC,1943000,500000
13,QL,2443000,202000
14,CC,2645000,100000
15,QL,2745000,20000
16,CL,2765000,500
17,CC,2765500,100000
18,QL,2865500,20000
19,CL,2885500,1000
20,CL,1423000,500
21,QC,2885500,500000
22,QC,3385500,500000
23,QL,3885500,202000
24,CC,4087500,100000
25,QL,4187500,20000
26,CL,4207500,500
27,CC,4208000,100000
28,QL,4308000,20000
29,CL,4328000,1000
30,CL,2865500,500
31,QC,4328000,500000
32,QC,4828000,500000
33,QL,5328000,202000
34,CC,5530000,100000
35,QL,5630000,20000
36,CL,5650000,500
37,CC,5650500,100000
38,QL,5750500,20000
39,CL,5770500,1000
40,CL,4308000,500
41,QC,5770500,500000
42,QC,6270500,500000
43,QL,6770500,202000
44,CC,6972500,100000
45,QL,7072500,20000
46,CL,7092500,500
47,CC,7093000,100000
48,QL,7193000,20000
49,CL,7213000,1000
50,CL,5750500,500
51,QC,7213000,500000
52,QC,7713000,500000
53,QL,8213000,202000
54,CC,8415000,100000
55,QL,8515000,20000
56,CL,8535000,500
57,CC,8535500,100000
58,QL,8635500,20000
59,CL,8655500,1000
60,CL,1000,500
61,QC,8655500,500000
62,QL,9155500,15000
63,QC,9170500,500000
64,QL,9670500,15000
65,QC,9685500,500000
66,QL,10185500,15000
67,QC,10200500,500000
68,QL,10700500,15000
69,QC,10715500,500000
70,QL,11215500,15000
71,CL,11230500,2500
72,CC,11233000,100000
73,CC,11333000,100000
74,CC,11433000,100000
75,CC,11533000,100000
76,CC,11633000,100000
77,CL,11733000,5000
78,CL,1500,500
79,QC,11230500,500000
80,QL,11730500,15000
81,QC,11745500,500000
82,QL,12245500,15000
83,QC,12260500,500000
84,QL,12760500,15000
85,QC,12775500,500000
86,QL,13275500,15000
87,QC,13290500,500000
88,QL,13790500,15000
89,CL,13805500,2500
90,CC,13808000,100000
91,CC,13908000,100000
92,CC,14008000,100000
93,CC,14108000,100000
94,CC,14208000,100000
95,CL,14308000,5000
96,CL,2000,500
97,QC,13805500,500000
98,QL,14305500,15000
99,QC,14320500,500000
100,QL,14820500,15000
101,QC,14835500,500000
102,QL,15335500,15000
103,QC,15350500,500000
104,QL,15850500,15000
105,QC,15865500,500000
106,QL,16365500,15000
107,CL,16380500,2500
108,CC,16383000,100000
109,CC,16483000,100000
110,CC,16583000,100000
111,CC,16683000,100000
112,CC,16783000,100000
113,CL,16883000,5000
114,CL,2500,500
115,QC,16380500,500000
116,QL,16880500,15000
117,QC,16895500,500000
118,QL,17395500,15000
119,QC,17410500,500000
120,QL,17910500,15000
121,QC,17925500,500000
122,QL,18425500,15000
123,QC,18440500,500000
124,QL,18940500,15000
125,CL,18955500,2500
126,CC,18958000,100000
127,CC,19058000,100000
128,CC,19158000,100000
129,CC,19258000,100000
130,CC,19358000,100000
131,CL,19458000,5000
132,CL,2038000,500
133,QC,18955500,500000
134,QL,19455500,15000
135,QC,19470500,500000
136,QL,19970500,15000
137,QC,19985500,500000
138,QL,20485500,15000
139,QC,20500500,500000
140,QL,21000500,15000
141,QC,21015500,500000
142,QL,21515500,15000
143,CL,21530500,2500
144,CC,21533000,100000
145,CC,21633000,100000
146,CC,21733000,100000
147,CC,21833000,100000
148,CC,21933000,100000
149,CL,22033000,5000
150,CL,4613000,500
151,QC,21530500,500000
152,QL,22030500,15000
153,QC,22045500,500000
154,QL,22545500,15000
155,QC,22560500,500000
156,QL,23060500,15000
157,QC,23075500,500000
158,QL,23575500,15000
159,QC,23590500,500000
160,QL,24090500,15000
161,CL,24105500,2500
162,CC,24108000,100000
163,CC,24208000,100000
164,CC,24308000,100000
165,CC,24408000,100000
166,CC,24508000,100000
167,CL,24608000,5000
168,CL,24054000,500
169,QC,24113000,500000
170,CC,24613000,100000
171,CC,24713000,100000
172,QL,24813000,19000
173,QC,24832000,500000
174,QL,25332000,221000
175,CL,25553000,1000
176,CL,25494000,500
177,QC,25553000,500000
178,CC,26053000,100000
179,CC,26153000,100000
180,QL,26253000,19000
181,QC,26272000,500000
182,QL,26772000,221000
183,CL,26993000,1000
184,CL,26934000,500
185,QC,26993000,500000
186,CC,27493000,100000
187,CC,27593000,100000
188,QL,27693000,19000
189,QC,27712000,500000
190,QL,28212000,221000
191,CL,28433000,1000
192,CL,28374000,500
193,QC,28433000,500000
194,CC,28933000,100000
195,CC,29033000,100000
196,QL,29133000,19000
197,QC,29152000,500000
198,QL,29652000,221000
199,CL,29873000,1000
200,CL,29814000,500
201,QC,29873000,500000
202,CC,30373000,100000
203,CC,30473000,100000
204,QL,30573000,19000
205,QC,30592000,500000
206,QL,31092000,221000
207,CL,31313000,1000
208,CL,31254000,500
209,QC,31313000,500000
210,CC,31813000,100000
211,CC,31913000,100000
212,QL,32013000,19000
213,QC,32032000,500000
214,QL,32532000,221000
215,CL,32753000,1000
