qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_bqc
0,0,12,1018,HEU,False,5,0.75,3592820000.0,0.75
1,0,12,1018,HEU,False,5,0.6666666666666666,3592820000.0,0.6666666666666666
2,0,12,1018,HEU,False,5,0.8333333333333334,3592820000.0,0.8333333333333334
3,0,12,1018,HEU,False,5,0.5,3592820000.0,0.5
4,0,12,1018,HEU,False,5,0.5,3592820000.0,0.5
5,0,12,1018,HEU,False,5,0.6666666666666666,3592820000.0,0.6666666666666666
6,0,12,1018,HEU,False,5,0.6666666666666666,3592820000.0,0.6666666666666666
7,0,12,1018,HEU,False,5,0.8333333333333334,3592820000.0,0.8333333333333334
8,0,12,1018,HEU,False,5,0.75,3592820000.0,0.75
9,0,12,1018,HEU,False,5,0.8333333333333334,3592820000.0,0.8333333333333334
10,0,12,1018,HEU,False,5,0.75,3592820000.0,0.75
11,0,12,1018,HEU,False,5,0.6666666666666666,3592820000.0,0.6666666666666666
12,0,12,1018,HEU,False,5,0.5,3592820000.0,0.5
13,0,12,1018,HEU,False,5,0.25,3592820000.0,0.25
14,0,12,1018,HEU,False,5,0.5,3592820000.0,0.5
15,0,12,1018,HEU,False,5,0.5833333333333334,3592820000.0,0.5833333333333334
16,0,12,1018,HEU,False,5,0.6666666666666666,3592820000.0,0.6666666666666666
17,0,12,1018,HEU,False,5,0.5,3592820000.0,0.5
18,0,12,1018,HEU,False,5,0.4166666666666667,3592820000.0,0.4166666666666667
19,0,12,1018,HEU,False,5,0.8333333333333334,3592820000.0,0.8333333333333334
20,0,12,1018,HEU,False,5,0.5833333333333334,3592820000.0,0.5833333333333334
21,0,12,1018,HEU,False,5,0.5833333333333334,3592820000.0,0.5833333333333334
22,0,12,1018,HEU,False,5,0.5,3592820000.0,0.5
23,0,12,1018,HEU,False,5,0.5,3592820000.0,0.5
24,0,12,1018,HEU,False,5,0.75,3592820000.0,0.75
25,0,12,1018,HEU,False,5,0.8333333333333334,3592820000.0,0.8333333333333334
26,0,12,1018,HEU,False,5,0.5833333333333334,3592820000.0,0.5833333333333334
27,0,12,1018,HEU,False,5,0.8333333333333334,3592820000.0,0.8333333333333334
28,0,12,1018,HEU,False,5,0.75,3592820000.0,0.75
29,0,12,1018,HEU,False,5,0.8333333333333334,3592820000.0,0.8333333333333334
30,0,12,1018,HEU,False,5,0.75,3592820000.0,0.75
31,0,12,1018,HEU,False,5,0.75,3592820000.0,0.75
32,0,12,1018,HEU,False,5,0.6666666666666666,3592820000.0,0.6666666666666666
33,0,12,1018,HEU,False,5,0.4166666666666667,3592820000.0,0.4166666666666667
34,0,12,1018,HEU,False,5,0.8333333333333334,3592820000.0,0.8333333333333334
35,0,12,1018,HEU,False,5,0.3333333333333333,3592820000.0,0.3333333333333333
36,0,12,1018,HEU,False,5,0.5,3592820000.0,0.5
37,0,12,1018,HEU,False,5,0.5833333333333334,3592820000.0,0.5833333333333334
38,0,12,1018,HEU,False,5,0.5,3592820000.0,0.5
39,0,12,1018,HEU,False,5,0.6666666666666666,3592820000.0,0.6666666666666666
40,0,12,1018,HEU,False,5,0.75,3592820000.0,0.75
41,0,12,1018,HEU,False,5,0.5,3592820000.0,0.5
42,0,12,1018,HEU,False,5,0.6666666666666666,3592820000.0,0.6666666666666666
43,0,12,1018,HEU,False,5,0.5833333333333334,3592820000.0,0.5833333333333334
44,0,12,1018,HEU,False,5,0.5833333333333334,3592820000.0,0.5833333333333334
45,0,12,1018,HEU,False,5,0.5,3592820000.0,0.5
46,0,12,1018,HEU,False,5,0.75,3592820000.0,0.75
47,0,12,1018,HEU,False,5,0.6666666666666666,3592820000.0,0.6666666666666666
48,0,12,1018,HEU,False,5,0.6666666666666666,3592820000.0,0.6666666666666666
49,0,12,1018,HEU,False,5,0.5833333333333334,3592820000.0,0.5833333333333334
50,0,12,1018,HEU,False,5,0.8333333333333334,3592820000.0,0.8333333333333334
51,0,12,1018,HEU,False,5,0.6666666666666666,3592820000.0,0.6666666666666666
52,0,12,1018,HEU,False,5,0.8333333333333334,3592820000.0,0.8333333333333334
