qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_pingpong
0,1,12,None,NAIVE,False,1,0.9166666666666666,792690000.0,0.9166666666666666
1,1,12,None,NAIVE,False,1,0.8333333333333334,792690000.0,0.8333333333333334
2,1,12,None,NAIVE,False,1,0.8333333333333334,792670000.0,0.8333333333333334
3,1,12,None,NAIVE,False,1,0.5,792670000.0,0.5
4,1,12,None,NAIVE,False,1,0.9166666666666666,792690000.0,0.9166666666666666
5,1,12,None,NAIVE,False,1,0.4166666666666667,792690000.0,0.4166666666666667
6,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
7,1,12,None,NAIVE,False,1,0.5833333333333334,792670000.0,0.5833333333333334
8,1,12,None,NAIVE,False,1,0.5833333333333334,792710000.0,0.5833333333333334
9,1,12,None,NAIVE,False,1,0.5833333333333334,792670000.0,0.5833333333333334
10,1,12,None,NAIVE,False,1,0.8333333333333334,792670000.0,0.8333333333333334
11,1,12,None,NAIVE,False,1,0.75,792690000.0,0.75
12,1,12,None,NAIVE,False,1,0.4166666666666667,792690000.0,0.4166666666666667
13,1,12,None,NAIVE,False,1,0.8333333333333334,792710000.0,0.8333333333333334
14,1,12,None,NAIVE,False,1,0.6666666666666666,792670000.0,0.6666666666666666
15,1,12,None,NAIVE,False,1,0.5,792690000.0,0.5
16,1,12,None,NAIVE,False,1,0.6666666666666666,792710000.0,0.6666666666666666
17,1,12,None,NAIVE,False,1,0.25,792690000.0,0.25
18,1,12,None,NAIVE,False,1,0.5,792670000.0,0.5
19,1,12,None,NAIVE,False,1,0.75,792690000.0,0.75
20,1,12,None,NAIVE,False,1,0.75,792690000.0,0.75
21,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
22,1,12,None,NAIVE,False,1,0.5,792710000.0,0.5
23,1,12,None,NAIVE,False,1,0.6666666666666666,792670000.0,0.6666666666666666
24,1,12,None,NAIVE,False,1,0.4166666666666667,792710000.0,0.4166666666666667
25,1,12,None,NAIVE,False,1,0.6666666666666666,792670000.0,0.6666666666666666
26,1,12,None,NAIVE,False,1,0.5,792710000.0,0.5
27,1,12,None,NAIVE,False,1,0.4166666666666667,792670000.0,0.4166666666666667
28,1,12,None,NAIVE,False,1,0.5833333333333334,792690000.0,0.5833333333333334
29,1,12,None,NAIVE,False,1,0.4166666666666667,792670000.0,0.4166666666666667
30,1,12,None,NAIVE,False,1,0.8333333333333334,792710000.0,0.8333333333333334
31,1,12,None,NAIVE,False,1,0.4166666666666667,792690000.0,0.4166666666666667
32,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
33,1,12,None,NAIVE,False,1,0.5,792670000.0,0.5
34,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
35,1,12,None,NAIVE,False,1,0.8333333333333334,792690000.0,0.8333333333333334
36,1,12,None,NAIVE,False,1,0.9166666666666666,792690000.0,0.9166666666666666
37,1,12,None,NAIVE,False,1,0.5,792710000.0,0.5
38,1,12,None,NAIVE,False,1,0.6666666666666666,792670000.0,0.6666666666666666
39,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
40,1,12,None,NAIVE,False,1,0.6666666666666666,792710000.0,0.6666666666666666
41,1,12,None,NAIVE,False,1,0.5833333333333334,792690000.0,0.5833333333333334
42,1,12,None,NAIVE,False,1,0.9166666666666666,792690000.0,0.9166666666666666
43,1,12,None,NAIVE,False,1,0.5,792690000.0,0.5
44,1,12,None,NAIVE,False,1,0.5,792690000.0,0.5
45,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
46,1,12,None,NAIVE,False,1,0.8333333333333334,792670000.0,0.8333333333333334
47,1,12,None,NAIVE,False,1,0.5833333333333334,792670000.0,0.5833333333333334
48,1,12,None,NAIVE,False,1,0.5833333333333334,792710000.0,0.5833333333333334
49,1,12,None,NAIVE,False,1,0.8333333333333334,792690000.0,0.8333333333333334
50,1,12,None,NAIVE,False,1,0.5833333333333334,792670000.0,0.5833333333333334
51,1,12,None,NAIVE,False,1,0.5833333333333334,792670000.0,0.5833333333333334
52,1,12,None,NAIVE,False,1,0.5833333333333334,792690000.0,0.5833333333333334
53,1,12,None,NAIVE,False,1,0.75,792690000.0,0.75
54,1,12,None,NAIVE,False,1,0.5833333333333334,792710000.0,0.5833333333333334
55,1,12,None,NAIVE,False,1,0.8333333333333334,792670000.0,0.8333333333333334
56,1,12,None,NAIVE,False,1,0.9166666666666666,792690000.0,0.9166666666666666
57,1,12,None,NAIVE,False,1,0.5833333333333334,792670000.0,0.5833333333333334
58,1,12,None,NAIVE,False,1,0.8333333333333334,792690000.0,0.8333333333333334
59,1,12,None,NAIVE,False,1,0.5833333333333334,792710000.0,0.5833333333333334
60,1,12,None,NAIVE,False,1,0.5833333333333334,792710000.0,0.5833333333333334
61,1,12,None,NAIVE,False,1,0.8333333333333334,792690000.0,0.8333333333333334
62,1,12,None,NAIVE,False,1,0.4166666666666667,792690000.0,0.4166666666666667
63,1,12,None,NAIVE,False,1,0.4166666666666667,792670000.0,0.4166666666666667
64,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
65,1,12,None,NAIVE,False,1,0.5,792690000.0,0.5
66,1,12,None,NAIVE,False,1,0.5833333333333334,792690000.0,0.5833333333333334
67,1,12,None,NAIVE,False,1,0.5833333333333334,792690000.0,0.5833333333333334
68,1,12,None,NAIVE,False,1,0.75,792710000.0,0.75
69,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
70,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
71,1,12,None,NAIVE,False,1,0.4166666666666667,792710000.0,0.4166666666666667
72,1,12,None,NAIVE,False,1,0.9166666666666666,792670000.0,0.9166666666666666
73,1,12,None,NAIVE,False,1,0.4166666666666667,792710000.0,0.4166666666666667
74,1,12,None,NAIVE,False,1,0.5833333333333334,792710000.0,0.5833333333333334
75,1,12,None,NAIVE,False,1,0.5833333333333334,792690000.0,0.5833333333333334
76,1,12,None,NAIVE,False,1,0.6666666666666666,792710000.0,0.6666666666666666
77,1,12,None,NAIVE,False,1,0.5833333333333334,792690000.0,0.5833333333333334
78,1,12,None,NAIVE,False,1,0.5833333333333334,792710000.0,0.5833333333333334
79,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
80,1,12,None,NAIVE,False,1,0.8333333333333334,792710000.0,0.8333333333333334
81,1,12,None,NAIVE,False,1,0.75,792670000.0,0.75
82,1,12,None,NAIVE,False,1,0.5833333333333334,792710000.0,0.5833333333333334
83,1,12,None,NAIVE,False,1,0.75,792690000.0,0.75
84,1,12,None,NAIVE,False,1,0.8333333333333334,792690000.0,0.8333333333333334
85,1,12,None,NAIVE,False,1,0.5833333333333334,792670000.0,0.5833333333333334
86,1,12,None,NAIVE,False,1,0.8333333333333334,792690000.0,0.8333333333333334
87,1,12,None,NAIVE,False,1,0.5,792670000.0,0.5
88,1,12,None,NAIVE,False,1,0.75,792670000.0,0.75
89,1,12,None,NAIVE,False,1,0.9166666666666666,792690000.0,0.9166666666666666
90,1,12,None,NAIVE,False,1,1.0,792710000.0,1.0
91,1,12,None,NAIVE,False,1,0.4166666666666667,792690000.0,0.4166666666666667
92,1,12,None,NAIVE,False,1,0.75,792690000.0,0.75
93,1,12,None,NAIVE,False,1,0.5,792690000.0,0.5
94,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
95,1,12,None,NAIVE,False,1,0.5833333333333334,792710000.0,0.5833333333333334
96,1,12,None,NAIVE,False,1,0.8333333333333334,792710000.0,0.8333333333333334
97,1,12,None,NAIVE,False,1,0.5833333333333334,792690000.0,0.5833333333333334
98,1,12,None,NAIVE,False,1,0.4166666666666667,792670000.0,0.4166666666666667
99,1,12,None,NAIVE,False,1,0.8333333333333334,792710000.0,0.8333333333333334
100,1,12,None,NAIVE,False,1,0.5833333333333334,792690000.0,0.5833333333333334
101,1,12,None,NAIVE,False,1,0.6666666666666666,792710000.0,0.6666666666666666
102,1,12,None,NAIVE,False,1,0.75,792690000.0,0.75
103,1,12,None,NAIVE,False,1,0.5,792710000.0,0.5
104,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
105,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
106,1,12,None,NAIVE,False,1,0.75,792670000.0,0.75
107,1,12,None,NAIVE,False,1,0.5833333333333334,792690000.0,0.5833333333333334
108,1,12,None,NAIVE,False,1,0.5,792690000.0,0.5
109,1,12,None,NAIVE,False,1,0.9166666666666666,792690000.0,0.9166666666666666
110,1,12,None,NAIVE,False,1,0.9166666666666666,792690000.0,0.9166666666666666
111,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
112,1,12,None,NAIVE,False,1,0.75,792690000.0,0.75
113,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
114,1,12,None,NAIVE,False,1,0.5,792690000.0,0.5
115,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
116,1,12,None,NAIVE,False,1,1.0,792690000.0,1.0
117,1,12,None,NAIVE,False,1,0.6666666666666666,792710000.0,0.6666666666666666
118,1,12,None,NAIVE,False,1,0.5833333333333334,792690000.0,0.5833333333333334
119,1,12,None,NAIVE,False,1,0.5833333333333334,792670000.0,0.5833333333333334
120,1,12,None,NAIVE,False,1,0.8333333333333334,792710000.0,0.8333333333333334
121,1,12,None,NAIVE,False,1,0.5833333333333334,792710000.0,0.5833333333333334
122,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
123,1,12,None,NAIVE,False,1,0.4166666666666667,792690000.0,0.4166666666666667
124,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
125,1,12,None,NAIVE,False,1,0.5833333333333334,792710000.0,0.5833333333333334
126,1,12,None,NAIVE,False,1,0.75,792670000.0,0.75
127,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
128,1,12,None,NAIVE,False,1,0.75,792670000.0,0.75
129,1,12,None,NAIVE,False,1,0.5833333333333334,792690000.0,0.5833333333333334
130,1,12,None,NAIVE,False,1,0.8333333333333334,792670000.0,0.8333333333333334
131,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
132,1,12,None,NAIVE,False,1,0.6666666666666666,792710000.0,0.6666666666666666
133,1,12,None,NAIVE,False,1,0.75,792690000.0,0.75
134,1,12,None,NAIVE,False,1,0.5833333333333334,792670000.0,0.5833333333333334
135,1,12,None,NAIVE,False,1,0.5833333333333334,792690000.0,0.5833333333333334
136,1,12,None,NAIVE,False,1,0.5,792690000.0,0.5
137,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
138,1,12,None,NAIVE,False,1,0.8333333333333334,792690000.0,0.8333333333333334
139,1,12,None,NAIVE,False,1,0.6666666666666666,792710000.0,0.6666666666666666
140,1,12,None,NAIVE,False,1,0.75,792710000.0,0.75
141,1,12,None,NAIVE,False,1,0.5,792690000.0,0.5
142,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
143,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
144,1,12,None,NAIVE,False,1,0.5833333333333334,792710000.0,0.5833333333333334
145,1,12,None,NAIVE,False,1,0.3333333333333333,792690000.0,0.3333333333333333
146,1,12,None,NAIVE,False,1,0.9166666666666666,792690000.0,0.9166666666666666
147,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
148,1,12,None,NAIVE,False,1,0.4166666666666667,792690000.0,0.4166666666666667
149,1,12,None,NAIVE,False,1,0.75,792710000.0,0.75
150,1,12,None,NAIVE,False,1,0.6666666666666666,792670000.0,0.6666666666666666
151,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
152,1,12,None,NAIVE,False,1,0.75,792690000.0,0.75
153,1,12,None,NAIVE,False,1,0.75,792690000.0,0.75
154,1,12,None,NAIVE,False,1,0.75,792710000.0,0.75
155,1,12,None,NAIVE,False,1,0.9166666666666666,792690000.0,0.9166666666666666
156,1,12,None,NAIVE,False,1,0.6666666666666666,792710000.0,0.6666666666666666
157,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
158,1,12,None,NAIVE,False,1,0.75,792690000.0,0.75
159,1,12,None,NAIVE,False,1,0.75,792690000.0,0.75
160,1,12,None,NAIVE,False,1,0.75,792670000.0,0.75
161,1,12,None,NAIVE,False,1,0.6666666666666666,792670000.0,0.6666666666666666
162,1,12,None,NAIVE,False,1,0.75,792690000.0,0.75
163,1,12,None,NAIVE,False,1,0.75,792690000.0,0.75
164,1,12,None,NAIVE,False,1,0.5833333333333334,792690000.0,0.5833333333333334
165,1,12,None,NAIVE,False,1,0.5833333333333334,792690000.0,0.5833333333333334
166,1,12,None,NAIVE,False,1,0.5833333333333334,792690000.0,0.5833333333333334
167,1,12,None,NAIVE,False,1,0.5833333333333334,792710000.0,0.5833333333333334
168,1,12,None,NAIVE,False,1,0.5,792670000.0,0.5
169,1,12,None,NAIVE,False,1,0.5,792670000.0,0.5
170,1,12,None,NAIVE,False,1,0.6666666666666666,792670000.0,0.6666666666666666
171,1,12,None,NAIVE,False,1,0.75,792710000.0,0.75
172,1,12,None,NAIVE,False,1,0.6666666666666666,792710000.0,0.6666666666666666
173,1,12,None,NAIVE,False,1,0.8333333333333334,792670000.0,0.8333333333333334
174,1,12,None,NAIVE,False,1,0.5833333333333334,792690000.0,0.5833333333333334
175,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
176,1,12,None,NAIVE,False,1,0.75,792690000.0,0.75
177,1,12,None,NAIVE,False,1,0.5833333333333334,792690000.0,0.5833333333333334
178,1,12,None,NAIVE,False,1,0.5833333333333334,792670000.0,0.5833333333333334
179,1,12,None,NAIVE,False,1,0.6666666666666666,792690000.0,0.6666666666666666
180,1,12,None,NAIVE,False,1,0.3333333333333333,792690000.0,0.3333333333333333
181,1,12,None,NAIVE,False,1,0.5833333333333334,792690000.0,0.5833333333333334
182,1,12,None,NAIVE,False,1,0.5833333333333334,792690000.0,0.5833333333333334
183,1,12,None,NAIVE,False,1,0.8333333333333334,792710000.0,0.8333333333333334
184,1,12,None,NAIVE,False,1,0.5,792690000.0,0.5
185,1,12,None,NAIVE,False,1,0.6666666666666666,792670000.0,0.6666666666666666
186,1,12,None,NAIVE,False,1,0.8333333333333334,792670000.0,0.8333333333333334
187,1,12,None,NAIVE,False,1,0.5833333333333334,792710000.0,0.5833333333333334
188,1,12,None,NAIVE,False,1,0.5833333333333334,792690000.0,0.5833333333333334
