qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_qkd
0,2,12,None,HEU,False,1,0.5,1106700000.0,0.5
1,2,12,None,HEU,False,1,0.75,1106700000.0,0.75
2,2,12,None,HEU,False,1,0.5,1106700000.0,0.5
3,2,12,None,HEU,False,1,0.6666666666666666,1106700000.0,0.6666666666666666
4,2,12,None,HEU,False,1,0.5,1106700000.0,0.5
5,2,12,None,HEU,False,1,0.8333333333333334,1106700000.0,0.8333333333333334
6,2,12,None,HEU,False,1,0.6666666666666666,1106700000.0,0.6666666666666666
7,2,12,None,HEU,False,1,0.5833333333333334,1106700000.0,0.5833333333333334
8,2,12,None,HEU,False,1,0.5833333333333334,1106700000.0,0.5833333333333334
9,2,12,None,HEU,False,1,0.5,1106700000.0,0.5
10,2,12,None,HEU,False,1,0.6666666666666666,1106700000.0,0.6666666666666666
11,2,12,None,HEU,False,1,0.5833333333333334,1106700000.0,0.5833333333333334
12,2,12,None,HEU,False,1,0.5,1106700000.0,0.5
13,2,12,None,HEU,False,1,0.6666666666666666,1106700000.0,0.6666666666666666
14,2,12,None,HEU,False,1,0.5833333333333334,1106700000.0,0.5833333333333334
15,2,12,None,HEU,False,1,0.3333333333333333,1106700000.0,0.3333333333333333
16,2,12,None,HEU,False,1,0.6666666666666666,1106700000.0,0.6666666666666666
17,2,12,None,HEU,False,1,0.6666666666666666,1106700000.0,0.6666666666666666
18,2,12,None,HEU,False,1,0.4166666666666667,1106700000.0,0.4166666666666667
19,2,12,None,HEU,False,1,0.5,1106700000.0,0.5
20,2,12,None,HEU,False,1,0.6666666666666666,1106700000.0,0.6666666666666666
21,2,12,None,HEU,False,1,0.6666666666666666,1106700000.0,0.6666666666666666
22,2,12,None,HEU,False,1,0.3333333333333333,1106700000.0,0.3333333333333333
23,2,12,None,HEU,False,1,0.3333333333333333,1106700000.0,0.3333333333333333
24,2,12,None,HEU,False,1,0.5,1106700000.0,0.5
25,2,12,None,HEU,False,1,0.3333333333333333,1106700000.0,0.3333333333333333
26,2,12,None,HEU,False,1,0.5,1106700000.0,0.5
27,2,12,None,HEU,False,1,0.5833333333333334,1106700000.0,0.5833333333333334
28,2,12,None,HEU,False,1,0.5,1106700000.0,0.5
29,2,12,None,HEU,False,1,0.5833333333333334,1106700000.0,0.5833333333333334
30,2,12,None,HEU,False,1,0.5833333333333334,1106700000.0,0.5833333333333334
31,2,12,None,HEU,False,1,0.3333333333333333,1106700000.0,0.3333333333333333
32,2,12,None,HEU,False,1,0.5,1106700000.0,0.5
33,2,12,None,HEU,False,1,0.75,1106700000.0,0.75
34,2,12,None,HEU,False,1,0.4166666666666667,1106700000.0,0.4166666666666667
35,2,12,None,HEU,False,1,0.5,1106700000.0,0.5
36,2,12,None,HEU,False,1,0.5,1106700000.0,0.5
37,2,12,None,HEU,False,1,0.3333333333333333,1106700000.0,0.3333333333333333
38,2,12,None,HEU,False,1,0.5833333333333334,1106700000.0,0.5833333333333334
39,2,12,None,HEU,False,1,0.5,1106700000.0,0.5
40,2,12,None,HEU,False,1,0.75,1106700000.0,0.75
41,2,12,None,HEU,False,1,0.5833333333333334,1106700000.0,0.5833333333333334
42,2,12,None,HEU,False,1,0.5,1106700000.0,0.5
43,2,12,None,HEU,False,1,0.6666666666666666,1106700000.0,0.6666666666666666
44,2,12,None,HEU,False,1,0.25,1106700000.0,0.25
45,2,12,None,HEU,False,1,0.5,1106700000.0,0.5
46,2,12,None,HEU,False,1,0.6666666666666666,1106700000.0,0.6666666666666666
47,2,12,None,HEU,False,1,0.5,1106700000.0,0.5
48,2,12,None,HEU,False,1,0.75,1106700000.0,0.75
49,2,12,None,HEU,False,1,0.4166666666666667,1106700000.0,0.4166666666666667
50,2,12,None,HEU,False,1,0.5,1106700000.0,0.5
51,2,12,None,HEU,False,1,0.3333333333333333,1106700000.0,0.3333333333333333
52,2,12,None,HEU,False,1,0.6666666666666666,1106700000.0,0.6666666666666666
53,2,12,None,HEU,False,1,0.75,1106700000.0,0.75
54,2,12,None,HEU,False,1,0.5,1106700000.0,0.5
55,2,12,None,HEU,False,1,0.25,1106700000.0,0.25
56,2,12,None,HEU,False,1,0.5,1106700000.0,0.5
57,2,12,None,HEU,False,1,0.5,1106700000.0,0.5
58,2,12,None,HEU,False,1,0.5833333333333334,1106700000.0,0.5833333333333334
59,2,12,None,HEU,False,1,0.75,1106700000.0,0.75
60,2,12,None,HEU,False,1,0.6666666666666666,1106700000.0,0.6666666666666666
61,2,12,None,HEU,False,1,0.4166666666666667,1106700000.0,0.4166666666666667
62,2,12,None,HEU,False,1,0.4166666666666667,1106700000.0,0.4166666666666667
63,2,12,None,HEU,False,1,0.5,1106700000.0,0.5
64,2,12,None,HEU,False,1,0.4166666666666667,1106700000.0,0.4166666666666667
65,2,12,None,HEU,False,1,0.3333333333333333,1106700000.0,0.3333333333333333
66,2,12,None,HEU,False,1,0.5833333333333334,1106700000.0,0.5833333333333334
67,2,12,None,HEU,False,1,0.6666666666666666,1106700000.0,0.6666666666666666
68,2,12,None,HEU,False,1,0.8333333333333334,1106700000.0,0.8333333333333334
69,2,12,None,HEU,False,1,0.4166666666666667,1106700000.0,0.4166666666666667
70,2,12,None,HEU,False,1,0.3333333333333333,1106700000.0,0.3333333333333333
71,2,12,None,HEU,False,1,0.5,1106700000.0,0.5
