qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_bqc,success_probability_pingpong
0,3,12,1073,HEU,False,5,0.5833333333333334,3402570000.0,0.6666666666666666,0.5
1,3,12,1073,HEU,False,5,0.8333333333333334,3402590000.0,0.8333333333333334,0.8333333333333334
2,3,12,1073,HEU,False,5,0.5,3402570000.0,0.6666666666666666,0.3333333333333333
3,3,12,1073,HEU,False,5,0.8333333333333334,3402590000.0,1.0,0.6666666666666666
4,3,12,1073,HEU,False,5,0.5833333333333334,3402590000.0,0.5,0.6666666666666666
5,3,12,1073,HEU,False,5,0.6666666666666666,3402590000.0,0.8333333333333334,0.5
6,3,12,1073,HEU,False,5,0.5,3402590000.0,0.6666666666666666,0.3333333333333333
7,3,12,1073,HEU,False,5,0.75,3402590000.0,0.8333333333333334,0.6666666666666666
8,3,12,1073,HEU,False,5,0.5,3402590000.0,0.3333333333333333,0.6666666666666666
9,3,12,1073,HEU,False,5,0.8333333333333334,3402590000.0,0.8333333333333334,0.8333333333333334
10,3,12,1073,HEU,False,5,0.75,3402610000.0,0.6666666666666666,0.8333333333333334
11,3,12,1073,HEU,False,5,0.75,3402610000.0,0.5,1.0
12,3,12,1073,HEU,False,5,0.6666666666666666,3402570000.0,0.5,0.8333333333333334
13,3,12,1073,HEU,False,5,0.8333333333333334,3402590000.0,0.8333333333333334,0.8333333333333334
14,3,12,1073,HEU,False,5,0.8333333333333334,3402610000.0,0.8333333333333334,0.8333333333333334
15,3,12,1073,HEU,False,5,0.6666666666666666,3402590000.0,0.6666666666666666,0.6666666666666666
16,3,12,1073,HEU,False,5,0.75,3402570000.0,0.6666666666666666,0.8333333333333334
17,3,12,1073,HEU,False,5,0.5833333333333334,3402590000.0,0.3333333333333333,0.8333333333333334
18,3,12,1073,HEU,False,5,0.9166666666666666,3402610000.0,1.0,0.8333333333333334
19,3,12,1073,HEU,False,5,0.8333333333333334,3402590000.0,0.6666666666666666,1.0
20,3,12,1073,HEU,False,5,0.75,3402590000.0,0.6666666666666666,0.8333333333333334
21,3,12,1073,HEU,False,5,0.75,3402590000.0,0.8333333333333334,0.6666666666666666
