qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_bqc,success_probability_pingpong
0,3,12,None,NAIVE,False,1,0.6666666666666666,791490000.0,0.8333333333333334,0.5
1,3,12,None,NAIVE,False,1,0.5,791470000.0,0.3333333333333333,0.6666666666666666
2,3,12,None,NAIVE,False,1,0.4166666666666667,791510000.0,0.5,0.3333333333333333
3,3,12,None,NAIVE,False,1,0.75,791510000.0,0.6666666666666666,0.8333333333333334
4,3,12,None,NAIVE,False,1,0.8333333333333334,791510000.0,0.6666666666666666,1.0
5,3,12,None,NAIVE,False,1,0.75,791490000.0,0.6666666666666666,0.8333333333333334
6,3,12,None,NAIVE,False,1,0.6666666666666666,791490000.0,0.6666666666666666,0.6666666666666666
7,3,12,None,NAIVE,False,1,0.75,791510000.0,0.6666666666666666,0.8333333333333334
8,3,12,None,NAIVE,False,1,0.5833333333333334,791490000.0,0.3333333333333333,0.8333333333333334
9,3,12,None,NAIVE,False,1,0.75,791490000.0,0.8333333333333334,0.6666666666666666
10,3,12,None,NAIVE,False,1,0.6666666666666666,791510000.0,0.6666666666666666,0.6666666666666666
11,3,12,None,NAIVE,False,1,0.6666666666666666,791470000.0,0.6666666666666666,0.6666666666666666
12,3,12,None,NAIVE,False,1,0.5833333333333334,791510000.0,0.6666666666666666,0.5
13,3,12,None,NAIVE,False,1,0.5,791510000.0,0.3333333333333333,0.6666666666666666
14,3,12,None,NAIVE,False,1,0.9166666666666666,791510000.0,1.0,0.8333333333333334
15,3,12,None,NAIVE,False,1,0.5833333333333334,791470000.0,0.6666666666666666,0.5
16,3,12,None,NAIVE,False,1,0.6666666666666666,791490000.0,1.0,0.3333333333333333
17,3,12,None,NAIVE,False,1,0.6666666666666666,791470000.0,0.6666666666666666,0.6666666666666666
18,3,12,None,NAIVE,False,1,0.4166666666666667,791490000.0,0.5,0.3333333333333333
19,3,12,None,NAIVE,False,1,0.6666666666666666,791490000.0,0.3333333333333333,1.0
20,3,12,None,NAIVE,False,1,0.75,791490000.0,0.8333333333333334,0.6666666666666666
21,3,12,None,NAIVE,False,1,0.3333333333333333,791510000.0,0.3333333333333333,0.3333333333333333
22,3,12,None,NAIVE,False,1,0.8333333333333334,791470000.0,0.8333333333333334,0.8333333333333334
23,3,12,None,NAIVE,False,1,0.8333333333333334,791490000.0,0.6666666666666666,1.0
24,3,12,None,NAIVE,False,1,0.5833333333333334,791490000.0,0.6666666666666666,0.5
25,3,12,None,NAIVE,False,1,0.6666666666666666,791470000.0,1.0,0.3333333333333333
26,3,12,None,NAIVE,False,1,0.5833333333333334,791510000.0,0.5,0.6666666666666666
27,3,12,None,NAIVE,False,1,0.9166666666666666,791490000.0,0.8333333333333334,1.0
28,3,12,None,NAIVE,False,1,0.6666666666666666,791510000.0,0.6666666666666666,0.6666666666666666
29,3,12,None,NAIVE,False,1,0.5,791490000.0,0.3333333333333333,0.6666666666666666
30,3,12,None,NAIVE,False,1,0.6666666666666666,791470000.0,0.6666666666666666,0.6666666666666666
31,3,12,None,NAIVE,False,1,0.75,791490000.0,0.5,1.0
32,3,12,None,NAIVE,False,1,0.5833333333333334,791490000.0,0.8333333333333334,0.3333333333333333
33,3,12,None,NAIVE,False,1,0.9166666666666666,791490000.0,1.0,0.8333333333333334
34,3,12,None,NAIVE,False,1,0.5,791490000.0,0.5,0.5
35,3,12,None,NAIVE,False,1,0.5,791510000.0,0.5,0.5
36,3,12,None,NAIVE,False,1,0.75,791490000.0,0.6666666666666666,0.8333333333333334
37,3,12,None,NAIVE,False,1,0.75,791490000.0,0.6666666666666666,0.8333333333333334
38,3,12,None,NAIVE,False,1,0.6666666666666666,791490000.0,0.5,0.8333333333333334
39,3,12,None,NAIVE,False,1,0.5833333333333334,791510000.0,0.5,0.6666666666666666
40,3,12,None,NAIVE,False,1,0.5833333333333334,791510000.0,0.8333333333333334,0.3333333333333333
41,3,12,None,NAIVE,False,1,0.4166666666666667,791490000.0,0.5,0.3333333333333333
42,3,12,None,NAIVE,False,1,0.75,791490000.0,0.8333333333333334,0.6666666666666666
43,3,12,None,NAIVE,False,1,0.5,791490000.0,0.3333333333333333,0.6666666666666666
44,3,12,None,NAIVE,False,1,0.5833333333333334,791490000.0,0.5,0.6666666666666666
45,3,12,None,NAIVE,False,1,0.6666666666666666,791470000.0,0.6666666666666666,0.6666666666666666
46,3,12,None,NAIVE,False,1,0.5833333333333334,791490000.0,0.8333333333333334,0.3333333333333333
47,3,12,None,NAIVE,False,1,0.4166666666666667,791490000.0,0.3333333333333333,0.5
48,3,12,None,NAIVE,False,1,0.6666666666666666,791510000.0,0.6666666666666666,0.6666666666666666
49,3,12,None,NAIVE,False,1,0.5,791490000.0,0.5,0.5
50,3,12,None,NAIVE,False,1,0.8333333333333334,791490000.0,1.0,0.6666666666666666
51,3,12,None,NAIVE,False,1,0.4166666666666667,791490000.0,0.6666666666666666,0.16666666666666666
52,3,12,None,NAIVE,False,1,0.9166666666666666,791510000.0,1.0,0.8333333333333334
53,3,12,None,NAIVE,False,1,0.75,791510000.0,0.6666666666666666,0.8333333333333334
54,3,12,None,NAIVE,False,1,0.4166666666666667,791490000.0,0.6666666666666666,0.16666666666666666
