qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_bqc,success_probability_qkd
0,4,12,None,NAIVE,False,1,0.3333333333333333,941100000.0,0.3333333333333333,0.3333333333333333
1,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.6666666666666666,0.5
2,4,12,None,NAIVE,False,1,0.4166666666666667,941100000.0,0.5,0.3333333333333333
3,4,12,None,NAIVE,False,1,0.4166666666666667,941100000.0,0.5,0.3333333333333333
4,4,12,None,NAIVE,False,1,1.0,941100000.0,1.0,1.0
5,4,12,None,NAIVE,False,1,0.5,941100000.0,0.3333333333333333,0.6666666666666666
6,4,12,None,NAIVE,False,1,0.75,941100000.0,0.6666666666666666,0.8333333333333334
7,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.6666666666666666,0.5
8,4,12,None,NAIVE,False,1,0.5,941100000.0,0.3333333333333333,0.6666666666666666
9,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,1.0,0.3333333333333333
10,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,1.0,0.3333333333333333
11,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,0.6666666666666666,0.6666666666666666
12,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,0.5,0.8333333333333334
13,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.6666666666666666,0.5
14,4,12,None,NAIVE,False,1,0.4166666666666667,941100000.0,0.3333333333333333,0.5
15,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,0.8333333333333334,0.5
16,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,0.6666666666666666,0.6666666666666666
17,4,12,None,NAIVE,False,1,0.75,941100000.0,0.8333333333333334,0.6666666666666666
18,4,12,None,NAIVE,False,1,0.5,941100000.0,0.6666666666666666,0.3333333333333333
19,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.6666666666666666,0.5
20,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,1.0,0.16666666666666666
21,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.8333333333333334,0.3333333333333333
22,4,12,None,NAIVE,False,1,0.75,941100000.0,0.8333333333333334,0.6666666666666666
23,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.6666666666666666,0.5
24,4,12,None,NAIVE,False,1,0.5,941100000.0,0.3333333333333333,0.6666666666666666
25,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.6666666666666666,0.5
26,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,0.8333333333333334,0.5
27,4,12,None,NAIVE,False,1,0.4166666666666667,941100000.0,0.16666666666666666,0.6666666666666666
28,4,12,None,NAIVE,False,1,0.75,941100000.0,0.8333333333333334,0.6666666666666666
29,4,12,None,NAIVE,False,1,0.75,941100000.0,0.8333333333333334,0.6666666666666666
30,4,12,None,NAIVE,False,1,0.5,941100000.0,0.5,0.5
31,4,12,None,NAIVE,False,1,0.5,941100000.0,0.5,0.5
32,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.6666666666666666,0.5
33,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.5,0.6666666666666666
34,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.5,0.6666666666666666
35,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.6666666666666666,0.5
36,4,12,None,NAIVE,False,1,0.4166666666666667,941100000.0,0.6666666666666666,0.16666666666666666
37,4,12,None,NAIVE,False,1,0.4166666666666667,941100000.0,0.3333333333333333,0.5
38,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,0.6666666666666666,0.6666666666666666
39,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.6666666666666666,0.5
40,4,12,None,NAIVE,False,1,0.3333333333333333,941100000.0,0.5,0.16666666666666666
41,4,12,None,NAIVE,False,1,0.5,941100000.0,0.6666666666666666,0.3333333333333333
42,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,0.6666666666666666,0.6666666666666666
43,4,12,None,NAIVE,False,1,0.5,941100000.0,0.5,0.5
44,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,0.6666666666666666,0.6666666666666666
45,4,12,None,NAIVE,False,1,0.5,941100000.0,0.6666666666666666,0.3333333333333333
46,4,12,None,NAIVE,False,1,0.5,941100000.0,0.6666666666666666,0.3333333333333333
47,4,12,None,NAIVE,False,1,0.75,941100000.0,0.6666666666666666,0.8333333333333334
48,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.6666666666666666,0.5
49,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.6666666666666666,0.5
50,4,12,None,NAIVE,False,1,0.3333333333333333,941100000.0,0.5,0.16666666666666666
51,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,0.6666666666666666,0.6666666666666666
52,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,0.8333333333333334,0.5
53,4,12,None,NAIVE,False,1,0.4166666666666667,941100000.0,0.6666666666666666,0.16666666666666666
54,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,0.6666666666666666,0.6666666666666666
55,4,12,None,NAIVE,False,1,0.5,941100000.0,0.3333333333333333,0.6666666666666666
56,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,0.6666666666666666,0.6666666666666666
57,4,12,None,NAIVE,False,1,0.75,941100000.0,0.8333333333333334,0.6666666666666666
58,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.6666666666666666,0.5
59,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,0.6666666666666666,0.6666666666666666
60,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.5,0.6666666666666666
61,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.8333333333333334,0.3333333333333333
62,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,0.3333333333333333,1.0
63,4,12,None,NAIVE,False,1,0.4166666666666667,941100000.0,0.6666666666666666,0.16666666666666666
64,4,12,None,NAIVE,False,1,0.5,941100000.0,0.5,0.5
65,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,0.8333333333333334,0.5
66,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,0.8333333333333334,0.5
67,4,12,None,NAIVE,False,1,0.3333333333333333,941100000.0,0.3333333333333333,0.3333333333333333
68,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.6666666666666666,0.5
69,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.8333333333333334,0.3333333333333333
70,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,1.0,0.3333333333333333
71,4,12,None,NAIVE,False,1,0.5,941100000.0,0.3333333333333333,0.6666666666666666
72,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.6666666666666666,0.5
73,4,12,None,NAIVE,False,1,0.5,941100000.0,0.6666666666666666,0.3333333333333333
74,4,12,None,NAIVE,False,1,0.5,941100000.0,0.5,0.5
75,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.6666666666666666,0.5
76,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.6666666666666666,0.5
77,4,12,None,NAIVE,False,1,0.75,941100000.0,0.6666666666666666,0.8333333333333334
78,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.5,0.6666666666666666
79,4,12,None,NAIVE,False,1,0.5,941100000.0,0.5,0.5
80,4,12,None,NAIVE,False,1,0.5,941100000.0,0.6666666666666666,0.3333333333333333
81,4,12,None,NAIVE,False,1,0.5,941100000.0,0.3333333333333333,0.6666666666666666
82,4,12,None,NAIVE,False,1,0.9166666666666666,941100000.0,0.8333333333333334,1.0
83,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,0.5,0.8333333333333334
84,4,12,None,NAIVE,False,1,0.4166666666666667,941100000.0,0.3333333333333333,0.5
85,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,0.6666666666666666,0.6666666666666666
86,4,12,None,NAIVE,False,1,0.5,941100000.0,0.5,0.5
87,4,12,None,NAIVE,False,1,0.5,941100000.0,0.5,0.5
88,4,12,None,NAIVE,False,1,0.5,941100000.0,0.3333333333333333,0.6666666666666666
89,4,12,None,NAIVE,False,1,0.5,941100000.0,0.5,0.5
90,4,12,None,NAIVE,False,1,0.4166666666666667,941100000.0,0.5,0.3333333333333333
91,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,0.6666666666666666,0.6666666666666666
92,4,12,None,NAIVE,False,1,0.75,941100000.0,0.8333333333333334,0.6666666666666666
93,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,0.6666666666666666,0.6666666666666666
94,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,0.6666666666666666,0.6666666666666666
95,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,0.8333333333333334,0.5
96,4,12,None,NAIVE,False,1,0.75,941100000.0,0.6666666666666666,0.8333333333333334
97,4,12,None,NAIVE,False,1,0.5,941100000.0,0.8333333333333334,0.16666666666666666
98,4,12,None,NAIVE,False,1,0.75,941100000.0,0.8333333333333334,0.6666666666666666
99,4,12,None,NAIVE,False,1,0.5,941100000.0,0.8333333333333334,0.16666666666666666
100,4,12,None,NAIVE,False,1,0.75,941100000.0,0.8333333333333334,0.6666666666666666
101,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.6666666666666666,0.5
102,4,12,None,NAIVE,False,1,0.4166666666666667,941100000.0,0.6666666666666666,0.16666666666666666
103,4,12,None,NAIVE,False,1,0.4166666666666667,941100000.0,0.5,0.3333333333333333
104,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.5,0.6666666666666666
105,4,12,None,NAIVE,False,1,0.5,941100000.0,0.5,0.5
106,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,0.6666666666666666,0.6666666666666666
107,4,12,None,NAIVE,False,1,0.5,941100000.0,0.6666666666666666,0.3333333333333333
108,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.8333333333333334,0.3333333333333333
109,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.5,0.6666666666666666
110,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.8333333333333334,0.3333333333333333
111,4,12,None,NAIVE,False,1,0.4166666666666667,941100000.0,0.3333333333333333,0.5
112,4,12,None,NAIVE,False,1,0.4166666666666667,941100000.0,0.16666666666666666,0.6666666666666666
113,4,12,None,NAIVE,False,1,0.8333333333333334,941100000.0,0.6666666666666666,1.0
114,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.6666666666666666,0.5
115,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,0.6666666666666666,0.6666666666666666
116,4,12,None,NAIVE,False,1,0.3333333333333333,941100000.0,0.3333333333333333,0.3333333333333333
117,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.5,0.6666666666666666
118,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,0.6666666666666666,0.6666666666666666
119,4,12,None,NAIVE,False,1,0.5,941100000.0,0.5,0.5
120,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,0.5,0.8333333333333334
121,4,12,None,NAIVE,False,1,0.5,941100000.0,0.3333333333333333,0.6666666666666666
122,4,12,None,NAIVE,False,1,0.8333333333333334,941100000.0,0.8333333333333334,0.8333333333333334
123,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.5,0.6666666666666666
124,4,12,None,NAIVE,False,1,0.75,941100000.0,0.8333333333333334,0.6666666666666666
125,4,12,None,NAIVE,False,1,0.6666666666666666,941100000.0,0.5,0.8333333333333334
126,4,12,None,NAIVE,False,1,0.5,941100000.0,0.5,0.5
127,4,12,None,NAIVE,False,1,0.75,941100000.0,0.8333333333333334,0.6666666666666666
128,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.6666666666666666,0.5
129,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.6666666666666666,0.5
130,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.5,0.6666666666666666
131,4,12,None,NAIVE,False,1,0.5833333333333334,941100000.0,0.8333333333333334,0.3333333333333333
132,4,12,None,NAIVE,False,1,0.5,941100000.0,0.6666666666666666,0.3333333333333333
133,4,12,None,NAIVE,False,1,0.5,941100000.0,0.6666666666666666,0.3333333333333333
134,4,12,None,NAIVE,False,1,0.4166666666666667,941100000.0,0.5,0.3333333333333333
135,4,12,None,NAIVE,False,1,0.5,941100000.0,0.6666666666666666,0.3333333333333333
