qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_pingpong,success_probability_qkd
0,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.8333333333333334,0.3333333333333333
1,5,12,10016,OPT,False,5,0.6666666666666666,4611300000.0,0.6666666666666666,0.6666666666666666
2,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.6666666666666666,0.5
3,5,12,10016,OPT,False,5,0.5,4611300000.0,0.6666666666666666,0.3333333333333333
4,5,12,10016,OPT,False,5,0.75,4611300000.0,0.8333333333333334,0.6666666666666666
5,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.5,0.6666666666666666
6,5,12,10016,OPT,False,5,0.6666666666666666,4611300000.0,0.5,0.8333333333333334
7,5,12,10016,OPT,False,5,0.3333333333333333,4611300000.0,0.5,0.1666666666666666
8,5,12,10016,OPT,False,5,0.5,4611300000.0,0.5,0.5
9,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.5,0.6666666666666666
10,5,12,10016,OPT,False,5,0.4166666666666667,4611300000.0,0.3333333333333333,0.5
11,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.6666666666666666,0.5
12,5,12,10016,OPT,False,5,0.75,4611300000.0,0.6666666666666666,0.8333333333333334
13,5,12,10016,OPT,False,5,0.25,4611300000.0,0.3333333333333333,0.1666666666666666
14,5,12,10016,OPT,False,5,0.5,4611300000.0,0.8333333333333334,0.1666666666666666
15,5,12,10016,OPT,False,5,0.8333333333333334,4611300000.0,1.0,0.6666666666666666
16,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.6666666666666666,0.5
17,5,12,10016,OPT,False,5,0.5,4611300000.0,0.5,0.5
18,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.8333333333333334,0.3333333333333333
19,5,12,10016,OPT,False,5,0.5,4611300000.0,0.8333333333333334,0.1666666666666666
20,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.3333333333333333,0.8333333333333334
21,5,12,10016,OPT,False,5,0.6666666666666666,4611300000.0,0.6666666666666666,0.6666666666666666
22,5,12,10016,OPT,False,5,0.75,4611300000.0,0.6666666666666666,0.8333333333333334
23,5,12,10016,OPT,False,5,0.3333333333333333,4611300000.0,0.3333333333333333,0.3333333333333333
24,5,12,10016,OPT,False,5,0.75,4611300000.0,0.6666666666666666,0.8333333333333334
25,5,12,10016,OPT,False,5,0.6666666666666666,4611300000.0,0.5,0.8333333333333334
26,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.5,0.6666666666666666
27,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.6666666666666666,0.5
28,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.8333333333333334,0.3333333333333333
29,5,12,10016,OPT,False,5,0.6666666666666666,4611300000.0,1.0,0.3333333333333333
30,5,12,10016,OPT,False,5,0.5,4611300000.0,0.6666666666666666,0.3333333333333333
31,5,12,10016,OPT,False,5,0.8333333333333334,4611300000.0,0.8333333333333334,0.8333333333333334
32,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.5,0.6666666666666666
33,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.6666666666666666,0.5
34,5,12,10016,OPT,False,5,1.0,4611300000.0,1.0,1.0
35,5,12,10016,OPT,False,5,0.5,4611300000.0,0.5,0.5
36,5,12,10016,OPT,False,5,0.5,4611300000.0,0.6666666666666666,0.3333333333333333
37,5,12,10016,OPT,False,5,0.75,4611300000.0,0.6666666666666666,0.8333333333333334
38,5,12,10016,OPT,False,5,0.75,4611300000.0,0.8333333333333334,0.6666666666666666
39,5,12,10016,OPT,False,5,0.6666666666666666,4611300000.0,0.8333333333333334,0.5
40,5,12,10016,OPT,False,5,0.5,4611300000.0,0.6666666666666666,0.3333333333333333
41,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.6666666666666666,0.5
42,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.5,0.6666666666666666
43,5,12,10016,OPT,False,5,0.6666666666666666,4611300000.0,0.6666666666666666,0.6666666666666666
44,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.6666666666666666,0.5
45,5,12,10016,OPT,False,5,1.0,4611300000.0,1.0,1.0
46,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.5,0.6666666666666666
47,5,12,10016,OPT,False,5,0.75,4611300000.0,0.8333333333333334,0.6666666666666666
48,5,12,10016,OPT,False,5,0.75,4611300000.0,0.8333333333333334,0.6666666666666666
49,5,12,10016,OPT,False,5,0.4166666666666667,4611300000.0,0.5,0.3333333333333333
50,5,12,10016,OPT,False,5,0.6666666666666666,4611300000.0,0.8333333333333334,0.5
51,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.6666666666666666,0.5
52,5,12,10016,OPT,False,5,0.4166666666666667,4611300000.0,0.5,0.3333333333333333
53,5,12,10016,OPT,False,5,0.6666666666666666,4611300000.0,0.8333333333333334,0.5
54,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.6666666666666666,0.5
55,5,12,10016,OPT,False,5,0.75,4611300000.0,0.8333333333333334,0.6666666666666666
56,5,12,10016,OPT,False,5,0.5,4611300000.0,0.5,0.5
57,5,12,10016,OPT,False,5,0.5,4611300000.0,0.8333333333333334,0.1666666666666666
58,5,12,10016,OPT,False,5,0.3333333333333333,4611300000.0,0.5,0.1666666666666666
59,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.6666666666666666,0.5
60,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.6666666666666666,0.5
61,5,12,10016,OPT,False,5,0.4166666666666667,4611300000.0,0.3333333333333333,0.5
62,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.8333333333333334,0.3333333333333333
63,5,12,10016,OPT,False,5,0.75,4611300000.0,0.8333333333333334,0.6666666666666666
64,5,12,10016,OPT,False,5,0.75,4611300000.0,0.8333333333333334,0.6666666666666666
65,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.6666666666666666,0.5
66,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.6666666666666666,0.5
