qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_bqc,success_probability_pingpong,success_probability_qkd
0,6,12,None,NAIVE,False,1,0.5833333333333334,884500000.0,0.75,0.75,0.25
1,6,12,None,NAIVE,False,1,0.3333333333333333,884500000.0,0.5,0.25,0.25
2,6,12,None,NAIVE,False,1,0.4166666666666667,884500000.0,0.25,0.25,0.75
3,6,12,None,NAIVE,False,1,0.8333333333333334,884500000.0,1.0,1.0,0.5
4,6,12,None,NAIVE,False,1,0.6666666666666666,884500000.0,0.75,0.5,0.75
5,6,12,None,NAIVE,False,1,0.5833333333333334,884500000.0,0.5,0.25,1.0
6,6,12,None,NAIVE,False,1,0.3333333333333333,884500000.0,0.25,0.25,0.5
7,6,12,None,NAIVE,False,1,0.6666666666666666,884500000.0,0.75,0.5,0.75
8,6,12,None,NAIVE,False,1,0.5833333333333334,884500000.0,0.75,0.25,0.75
9,6,12,None,NAIVE,False,1,0.4166666666666667,884500000.0,0.5,0.25,0.5
10,6,12,None,NAIVE,False,1,0.5833333333333334,884500000.0,0.75,0.5,0.5
11,6,12,None,NAIVE,False,1,0.75,884500000.0,0.75,1.0,0.5
12,6,12,None,NAIVE,False,1,0.5833333333333334,884500000.0,0.5,0.5,0.75
13,6,12,None,NAIVE,False,1,0.6666666666666666,884500000.0,0.75,0.5,0.75
14,6,12,None,NAIVE,False,1,0.5,884500000.0,0.75,0.5,0.25
15,6,12,None,NAIVE,False,1,0.6666666666666666,884500000.0,1.0,0.75,0.25
16,6,12,None,NAIVE,False,1,0.5833333333333334,884500000.0,0.5,0.75,0.5
17,6,12,None,NAIVE,False,1,0.3333333333333333,884500000.0,0.25,0.25,0.5
18,6,12,None,NAIVE,False,1,0.5,884500000.0,0.5,0.75,0.25
19,6,12,None,NAIVE,False,1,0.4166666666666667,884500000.0,0.5,0.0,0.75
20,6,12,None,NAIVE,False,1,0.75,884500000.0,0.75,0.5,1.0
21,6,12,None,NAIVE,False,1,0.5,884500000.0,0.5,0.25,0.75
22,6,12,None,NAIVE,False,1,0.75,884500000.0,0.75,0.75,0.75
23,6,12,None,NAIVE,False,1,0.5833333333333334,884500000.0,0.75,0.75,0.25
24,6,12,None,NAIVE,False,1,0.5833333333333334,884500000.0,0.75,0.25,0.75
25,6,12,None,NAIVE,False,1,0.5833333333333334,884500000.0,0.5,0.5,0.75
26,6,12,None,NAIVE,False,1,0.5833333333333334,884500000.0,1.0,0.25,0.5
27,6,12,None,NAIVE,False,1,0.6666666666666666,884500000.0,0.5,0.5,1.0
28,6,12,None,NAIVE,False,1,0.3333333333333333,884500000.0,0.25,0.5,0.25
29,6,12,None,NAIVE,False,1,0.6666666666666666,884500000.0,0.75,0.75,0.5
30,6,12,None,NAIVE,False,1,0.8333333333333334,884500000.0,1.0,1.0,0.5
31,6,12,None,NAIVE,False,1,0.9166666666666666,884500000.0,1.0,1.0,0.75
32,6,12,None,NAIVE,False,1,0.5833333333333334,884500000.0,0.25,0.75,0.75
