qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_qkd
0,2,12,0,OPT,False,5,0.3333333333333333,368820000.0,0.3333333333333333
1,2,12,0,OPT,False,5,0.9166666666666666,368820000.0,0.9166666666666666
2,2,12,0,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
3,2,12,0,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
4,2,12,0,OPT,False,5,0.5,368820000.0,0.5
5,2,12,0,OPT,False,5,0.8333333333333334,368820000.0,0.8333333333333334
6,2,12,0,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
7,2,12,0,OPT,False,5,0.5,368820000.0,0.5
8,2,12,0,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
9,2,12,0,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
10,2,12,0,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
11,2,12,0,OPT,False,5,0.75,368820000.0,0.75
12,2,12,0,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
13,2,12,0,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
14,2,12,0,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
15,2,12,0,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
16,2,12,0,OPT,False,5,0.5,368820000.0,0.5
17,2,12,0,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
18,2,12,0,OPT,False,5,0.5,368820000.0,0.5
19,2,12,0,OPT,False,5,0.9166666666666666,368820000.0,0.9166666666666666
20,2,12,0,OPT,False,5,0.3333333333333333,368820000.0,0.3333333333333333
21,2,12,0,OPT,False,5,0.0833333333333333,368820000.0,0.0833333333333333
22,2,12,0,OPT,False,5,0.4166666666666667,368820000.0,0.4166666666666667
23,2,12,0,OPT,False,5,0.4166666666666667,368820000.0,0.4166666666666667
24,2,12,0,OPT,False,5,0.4166666666666667,368820000.0,0.4166666666666667
25,2,12,0,OPT,False,5,0.75,368820000.0,0.75
26,2,12,0,OPT,False,5,0.5,368820000.0,0.5
27,2,12,0,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
28,2,12,0,OPT,False,5,0.75,368820000.0,0.75
29,2,12,0,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
30,2,12,0,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
31,2,12,0,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
32,2,12,0,OPT,False,5,0.25,368820000.0,0.25
33,2,12,0,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
34,2,12,0,OPT,False,5,0.5,368820000.0,0.5
35,2,12,0,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
36,2,12,0,OPT,False,5,0.75,368820000.0,0.75
37,2,12,0,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
38,2,12,0,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
39,2,12,0,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
40,2,12,0,OPT,False,5,0.75,368820000.0,0.75
41,2,12,0,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
42,2,12,0,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
43,2,12,0,OPT,False,5,0.5,368820000.0,0.5
44,2,12,0,OPT,False,5,0.5,368820000.0,0.5
45,2,12,0,OPT,False,5,0.5,368820000.0,0.5
46,2,12,0,OPT,False,5,0.8333333333333334,368820000.0,0.8333333333333334
47,2,12,0,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
48,2,12,0,OPT,False,5,0.5,368820000.0,0.5
49,2,12,0,OPT,False,5,0.4166666666666667,368820000.0,0.4166666666666667
50,2,12,0,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
51,2,12,0,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
52,2,12,0,OPT,False,5,0.5,368820000.0,0.5
53,2,12,0,OPT,False,5,0.8333333333333334,368820000.0,0.8333333333333334
54,2,12,0,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
55,2,12,0,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
56,2,12,0,OPT,False,5,0.5,368820000.0,0.5
57,2,12,0,OPT,False,5,0.5,368820000.0,0.5
58,2,12,0,OPT,False,5,0.5,368820000.0,0.5
59,2,12,0,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
60,2,12,0,OPT,False,5,0.75,368820000.0,0.75
61,2,12,0,OPT,False,5,0.5,368820000.0,0.5
62,2,12,0,OPT,False,5,0.5,368820000.0,0.5
63,2,12,0,OPT,False,5,0.75,368820000.0,0.75
64,2,12,0,OPT,False,5,0.75,368820000.0,0.75
65,2,12,0,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
66,2,12,0,OPT,False,5,0.25,368820000.0,0.25
67,2,12,0,OPT,False,5,0.5,368820000.0,0.5
68,2,12,0,OPT,False,5,0.75,368820000.0,0.75
69,2,12,0,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
70,2,12,0,OPT,False,5,0.9166666666666666,368820000.0,0.9166666666666666
71,2,12,0,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
72,2,12,0,OPT,False,5,0.75,368820000.0,0.75
73,2,12,0,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
74,2,12,0,OPT,False,5,0.5,368820000.0,0.5
75,2,12,0,OPT,False,5,0.5,368820000.0,0.5
76,2,12,0,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
77,2,12,0,OPT,False,5,0.4166666666666667,368820000.0,0.4166666666666667
78,2,12,0,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
79,2,12,0,OPT,False,5,0.4166666666666667,368820000.0,0.4166666666666667
80,2,12,0,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
81,2,12,0,OPT,False,5,0.4166666666666667,368820000.0,0.4166666666666667
82,2,12,0,OPT,False,5,0.75,368820000.0,0.75
83,2,12,0,OPT,False,5,0.5,368820000.0,0.5
84,2,12,0,OPT,False,5,0.75,368820000.0,0.75
85,2,12,0,OPT,False,5,0.4166666666666667,368820000.0,0.4166666666666667
86,2,12,0,OPT,False,5,0.5,368820000.0,0.5
87,2,12,0,OPT,False,5,0.75,368820000.0,0.75
88,2,12,0,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
89,2,12,0,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
90,2,12,0,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
91,2,12,0,OPT,False,5,0.4166666666666667,368820000.0,0.4166666666666667
92,2,12,0,OPT,False,5,0.5,368820000.0,0.5
93,2,12,0,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
94,2,12,0,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
95,2,12,0,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
96,2,12,0,OPT,False,5,0.4166666666666667,368820000.0,0.4166666666666667
97,2,12,0,OPT,False,5,0.8333333333333334,368820000.0,0.8333333333333334
98,2,12,0,OPT,False,5,0.5,368820000.0,0.5
99,2,12,0,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
0,2,12,10,OPT,False,5,0.5,368820000.0,0.5
1,2,12,10,OPT,False,5,0.75,368820000.0,0.75
2,2,12,10,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
3,2,12,10,OPT,False,5,0.75,368820000.0,0.75
4,2,12,10,OPT,False,5,0.75,368820000.0,0.75
5,2,12,10,OPT,False,5,0.4166666666666667,368820000.0,0.4166666666666667
6,2,12,10,OPT,False,5,0.4166666666666667,368820000.0,0.4166666666666667
