qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_qkd,success_probability_pingpong
0,5,12,10107,HEU,False,5,0.6666666666666666,4702610000.0,0.6666666666666666,0.6666666666666666
1,5,12,10107,HEU,False,5,0.4166666666666667,4702610000.0,0.3333333333333333,0.5
2,5,12,10107,HEU,False,5,0.6666666666666666,4702590000.0,0.6666666666666666,0.6666666666666666
3,5,12,10107,HEU,False,5,0.4166666666666667,4702570000.0,0.3333333333333333,0.5
4,5,12,10107,HEU,False,5,0.6666666666666666,4702590000.0,0.6666666666666666,0.6666666666666666
5,5,12,10107,HEU,False,5,0.5,4702570000.0,0.6666666666666666,0.3333333333333333
6,5,12,10107,HEU,False,5,0.4166666666666667,4702570000.0,0.5,0.3333333333333333
7,5,12,10107,HEU,False,5,0.75,4702570000.0,0.8333333333333334,0.6666666666666666
8,5,12,10107,HEU,False,5,0.4166666666666667,4702590000.0,0.1666666666666666,0.6666666666666666
9,5,12,10107,HEU,False,5,0.5,4702610000.0,0.5,0.5
10,5,12,10107,HEU,False,5,0.6666666666666666,4702590000.0,0.6666666666666666,0.6666666666666666
11,5,12,10107,HEU,False,5,0.6666666666666666,4702590000.0,0.6666666666666666,0.6666666666666666
12,5,12,10107,HEU,False,5,0.25,4702570000.0,0.1666666666666666,0.3333333333333333
13,5,12,10107,HEU,False,5,0.3333333333333333,4702610000.0,0.6666666666666666,0.0
14,5,12,10107,HEU,False,5,0.6666666666666666,4702590000.0,0.8333333333333334,0.5
15,5,12,10107,HEU,False,5,0.5833333333333334,4702610000.0,0.6666666666666666,0.5
16,5,12,10107,HEU,False,5,0.6666666666666666,4702590000.0,0.5,0.8333333333333334
17,5,12,10107,HEU,False,5,0.3333333333333333,4702590000.0,0.3333333333333333,0.3333333333333333
18,5,12,10107,HEU,False,5,0.5833333333333334,4702610000.0,0.3333333333333333,0.8333333333333334
19,5,12,10107,HEU,False,5,0.3333333333333333,4702610000.0,0.1666666666666666,0.5
20,5,12,10107,HEU,False,5,0.5,4702590000.0,0.3333333333333333,0.6666666666666666
21,5,12,10107,HEU,False,5,0.5,4702570000.0,0.3333333333333333,0.6666666666666666
22,5,12,10107,HEU,False,5,0.6666666666666666,4702590000.0,0.8333333333333334,0.5
23,5,12,10107,HEU,False,5,0.6666666666666666,4702570000.0,0.6666666666666666,0.6666666666666666
24,5,12,10107,HEU,False,5,0.75,4702570000.0,0.8333333333333334,0.6666666666666666
25,5,12,10107,HEU,False,5,0.75,4702570000.0,0.6666666666666666,0.8333333333333334
26,5,12,10107,HEU,False,5,0.5,4702590000.0,0.5,0.5
27,5,12,10107,HEU,False,5,0.4166666666666667,4702610000.0,0.3333333333333333,0.5
28,5,12,10107,HEU,False,5,0.5833333333333334,4702590000.0,0.5,0.6666666666666666
29,5,12,10107,HEU,False,5,0.5,4702590000.0,0.3333333333333333,0.6666666666666666
