qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_bqc,success_probability_qkd
0,4,6,1020,OPT,False,3,0.6666666666666666,1391300000.0,1.0,0.3333333333333333
1,4,6,1020,OPT,False,3,0.6666666666666666,1391300000.0,0.6666666666666666,0.6666666666666666
2,4,6,1020,OPT,False,3,0.6666666666666666,1391300000.0,0.6666666666666666,0.6666666666666666
3,4,6,1020,OPT,False,3,0.8333333333333334,1391300000.0,0.6666666666666666,1.0
4,4,6,1020,OPT,False,3,0.5,1391300000.0,0.3333333333333333,0.6666666666666666
5,4,6,1020,OPT,False,3,0.3333333333333333,1391300000.0,0.0,0.6666666666666666
6,4,6,1020,OPT,False,3,0.5,1391300000.0,0.6666666666666666,0.3333333333333333
7,4,6,1020,OPT,False,3,0.3333333333333333,1391300000.0,0.6666666666666666,0.0
8,4,6,1020,OPT,False,3,0.6666666666666666,1391300000.0,0.6666666666666666,0.6666666666666666
9,4,6,1020,OPT,False,3,0.5,1391300000.0,0.6666666666666666,0.3333333333333333
10,4,6,1020,OPT,False,3,0.6666666666666666,1391300000.0,0.6666666666666666,0.6666666666666666
11,4,6,1020,OPT,False,3,0.8333333333333334,1391300000.0,1.0,0.6666666666666666
12,4,6,1020,OPT,False,3,0.5,1391300000.0,1.0,0.0
13,4,6,1020,OPT,False,3,0.3333333333333333,1391300000.0,0.3333333333333333,0.3333333333333333
14,4,6,1020,OPT,False,3,0.1666666666666666,1391300000.0,0.3333333333333333,0.0
15,4,6,1020,OPT,False,3,0.3333333333333333,1391300000.0,0.3333333333333333,0.3333333333333333
16,4,6,1020,OPT,False,3,0.6666666666666666,1391300000.0,1.0,0.3333333333333333
17,4,6,1020,OPT,False,3,0.5,1391300000.0,0.0,1.0
18,4,6,1020,OPT,False,3,0.5,1391300000.0,0.3333333333333333,0.6666666666666666
19,4,6,1020,OPT,False,3,0.8333333333333334,1391300000.0,1.0,0.6666666666666666
20,4,6,1020,OPT,False,3,0.5,1391300000.0,0.3333333333333333,0.6666666666666666
21,4,6,1020,OPT,False,3,0.6666666666666666,1391300000.0,0.3333333333333333,1.0
22,4,6,1020,OPT,False,3,0.6666666666666666,1391300000.0,0.6666666666666666,0.6666666666666666
23,4,6,1020,OPT,False,3,0.6666666666666666,1391300000.0,0.6666666666666666,0.6666666666666666
24,4,6,1020,OPT,False,3,0.5,1391300000.0,0.6666666666666666,0.3333333333333333
25,4,6,1020,OPT,False,3,0.5,1391300000.0,0.6666666666666666,0.3333333333333333
26,4,6,1020,OPT,False,3,0.5,1391300000.0,0.6666666666666666,0.3333333333333333
27,4,6,1020,OPT,False,3,0.5,1391300000.0,1.0,0.0
28,4,6,1020,OPT,False,3,0.6666666666666666,1391300000.0,1.0,0.3333333333333333
29,4,6,1020,OPT,False,3,0.6666666666666666,1391300000.0,0.6666666666666666,0.6666666666666666
30,4,6,1020,OPT,False,3,0.5,1391300000.0,0.3333333333333333,0.6666666666666666
31,4,6,1020,OPT,False,3,0.8333333333333334,1391300000.0,1.0,0.6666666666666666
32,4,6,1020,OPT,False,3,0.5,1391300000.0,0.6666666666666666,0.3333333333333333
33,4,6,1020,OPT,False,3,0.8333333333333334,1391300000.0,0.6666666666666666,1.0
34,4,6,1020,OPT,False,3,0.6666666666666666,1391300000.0,0.6666666666666666,0.6666666666666666
35,4,6,1020,OPT,False,3,0.5,1391300000.0,0.3333333333333333,0.6666666666666666
36,4,6,1020,OPT,False,3,0.6666666666666666,1391300000.0,1.0,0.3333333333333333
37,4,6,1020,OPT,False,3,0.6666666666666666,1391300000.0,0.6666666666666666,0.6666666666666666
38,4,6,1020,OPT,False,3,0.5,1391300000.0,0.6666666666666666,0.3333333333333333
39,4,6,1020,OPT,False,3,0.5,1391300000.0,0.6666666666666666,0.3333333333333333
40,4,6,1020,OPT,False,3,0.5,1391300000.0,0.3333333333333333,0.6666666666666666
41,4,6,1020,OPT,False,3,0.8333333333333334,1391300000.0,0.6666666666666666,1.0
42,4,6,1020,OPT,False,3,0.3333333333333333,1391300000.0,0.6666666666666666,0.0
43,4,6,1020,OPT,False,3,0.5,1391300000.0,0.3333333333333333,0.6666666666666666
