qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_pingpong,success_probability_qkd
0,5,6,10532,HEU,False,3,0.3333333333333333,1371300000.0,0.0,0.6666666666666666
1,5,6,10532,HEU,False,3,0.5,1371300000.0,1.0,0.0
2,5,6,10532,HEU,False,3,1.0,1371300000.0,1.0,1.0
3,5,6,10532,HEU,False,3,0.6666666666666666,1371300000.0,0.6666666666666666,0.6666666666666666
4,5,6,10532,HEU,False,3,0.5,1371300000.0,0.6666666666666666,0.3333333333333333
5,5,6,10532,HEU,False,3,0.6666666666666666,1371300000.0,0.6666666666666666,0.6666666666666666
6,5,6,10532,HEU,False,3,0.5,1371300000.0,0.6666666666666666,0.3333333333333333
7,5,6,10532,HEU,False,3,0.6666666666666666,1371300000.0,0.3333333333333333,1.0
8,5,6,10532,HEU,False,3,0.6666666666666666,1371300000.0,0.6666666666666666,0.6666666666666666
9,5,6,10532,HEU,False,3,0.5,1371300000.0,0.3333333333333333,0.6666666666666666
10,5,6,10532,HEU,False,3,0.6666666666666666,1371300000.0,0.6666666666666666,0.6666666666666666
11,5,6,10532,HEU,False,3,0.5,1371300000.0,1.0,0.0
12,5,6,10532,HEU,False,3,0.6666666666666666,1371300000.0,0.6666666666666666,0.6666666666666666
13,5,6,10532,HEU,False,3,0.3333333333333333,1371300000.0,0.3333333333333333,0.3333333333333333
14,5,6,10532,HEU,False,3,0.8333333333333334,1371300000.0,1.0,0.6666666666666666
15,5,6,10532,HEU,False,3,0.3333333333333333,1371300000.0,0.3333333333333333,0.3333333333333333
16,5,6,10532,HEU,False,3,0.8333333333333334,1371300000.0,1.0,0.6666666666666666
17,5,6,10532,HEU,False,3,0.5,1371300000.0,0.0,1.0
18,5,6,10532,HEU,False,3,1.0,1371300000.0,1.0,1.0
19,5,6,10532,HEU,False,3,0.8333333333333334,1371300000.0,1.0,0.6666666666666666
20,5,6,10532,HEU,False,3,0.8333333333333334,1371300000.0,0.6666666666666666,1.0
21,5,6,10532,HEU,False,3,0.5,1371300000.0,0.6666666666666666,0.3333333333333333
22,5,6,10532,HEU,False,3,0.6666666666666666,1371300000.0,1.0,0.3333333333333333
23,5,6,10532,HEU,False,3,0.6666666666666666,1371300000.0,0.6666666666666666,0.6666666666666666
24,5,6,10532,HEU,False,3,0.8333333333333334,1371300000.0,1.0,0.6666666666666666
25,5,6,10532,HEU,False,3,0.8333333333333334,1371300000.0,1.0,0.6666666666666666
26,5,6,10532,HEU,False,3,0.6666666666666666,1371300000.0,0.6666666666666666,0.6666666666666666
27,5,6,10532,HEU,False,3,0.8333333333333334,1371300000.0,1.0,0.6666666666666666
28,5,6,10532,HEU,False,3,0.1666666666666666,1371300000.0,0.3333333333333333,0.0
29,5,6,10532,HEU,False,3,0.8333333333333334,1371300000.0,0.6666666666666666,1.0
30,5,6,10532,HEU,False,3,0.8333333333333334,1371300000.0,1.0,0.6666666666666666
31,5,6,10532,HEU,False,3,0.5,1371300000.0,0.3333333333333333,0.6666666666666666
32,5,6,10532,HEU,False,3,0.6666666666666666,1371300000.0,0.6666666666666666,0.6666666666666666
33,5,6,10532,HEU,False,3,0.3333333333333333,1371300000.0,0.6666666666666666,0.0
34,5,6,10532,HEU,False,3,0.3333333333333333,1371300000.0,0.3333333333333333,0.3333333333333333
35,5,6,10532,HEU,False,3,0.8333333333333334,1371300000.0,0.6666666666666666,1.0
36,5,6,10532,HEU,False,3,0.8333333333333334,1371300000.0,1.0,0.6666666666666666
37,5,6,10532,HEU,False,3,0.5,1371300000.0,0.3333333333333333,0.6666666666666666
38,5,6,10532,HEU,False,3,0.8333333333333334,1371300000.0,1.0,0.6666666666666666
39,5,6,10532,HEU,False,3,0.3333333333333333,1371300000.0,0.6666666666666666,0.0
40,5,6,10532,HEU,False,3,0.6666666666666666,1371300000.0,0.6666666666666666,0.6666666666666666
41,5,6,10532,HEU,False,3,0.6666666666666666,1371300000.0,1.0,0.3333333333333333
42,5,6,10532,HEU,False,3,1.0,1371300000.0,1.0,1.0
43,5,6,10532,HEU,False,3,0.6666666666666666,1371300000.0,0.6666666666666666,0.6666666666666666
44,5,6,10532,HEU,False,3,0.0,1371300000.0,0.0,0.0
45,5,6,10532,HEU,False,3,0.8333333333333334,1371300000.0,1.0,0.6666666666666666
46,5,6,10532,HEU,False,3,0.6666666666666666,1371300000.0,1.0,0.3333333333333333
47,5,6,10532,HEU,False,3,0.8333333333333334,1371300000.0,0.6666666666666666,1.0
48,5,6,10532,HEU,False,3,1.0,1371300000.0,1.0,1.0
49,5,6,10532,HEU,False,3,0.6666666666666666,1371300000.0,1.0,0.3333333333333333
50,5,6,10532,HEU,False,3,0.3333333333333333,1371300000.0,0.6666666666666666,0.0
51,5,6,10532,HEU,False,3,0.6666666666666666,1371300000.0,0.6666666666666666,0.6666666666666666
52,5,6,10532,HEU,False,3,0.5,1371300000.0,0.6666666666666666,0.3333333333333333
53,5,6,10532,HEU,False,3,0.5,1371300000.0,0.6666666666666666,0.3333333333333333
54,5,6,10532,HEU,False,3,0.5,1371300000.0,0.6666666666666666,0.3333333333333333
55,5,6,10532,HEU,False,3,0.6666666666666666,1371300000.0,0.6666666666666666,0.6666666666666666
56,5,6,10532,HEU,False,3,0.3333333333333333,1371300000.0,0.0,0.6666666666666666
57,5,6,10532,HEU,False,3,0.3333333333333333,1371300000.0,0.3333333333333333,0.3333333333333333
58,5,6,10532,HEU,False,3,0.6666666666666666,1371300000.0,0.6666666666666666,0.6666666666666666
59,5,6,10532,HEU,False,3,0.5,1371300000.0,0.3333333333333333,0.6666666666666666
60,5,6,10532,HEU,False,3,0.6666666666666666,1371300000.0,1.0,0.3333333333333333
61,5,6,10532,HEU,False,3,0.3333333333333333,1371300000.0,0.3333333333333333,0.3333333333333333
62,5,6,10532,HEU,False,3,0.5,1371300000.0,0.3333333333333333,0.6666666666666666
63,5,6,10532,HEU,False,3,0.3333333333333333,1371300000.0,0.0,0.6666666666666666
64,5,6,10532,HEU,False,3,0.1666666666666666,1371300000.0,0.0,0.3333333333333333
65,5,6,10532,HEU,False,3,0.6666666666666666,1371300000.0,0.6666666666666666,0.6666666666666666
66,5,6,10532,HEU,False,3,1.0,1371300000.0,1.0,1.0
67,5,6,10532,HEU,False,3,0.6666666666666666,1371300000.0,0.6666666666666666,0.6666666666666666
68,5,6,10532,HEU,False,3,0.6666666666666666,1371300000.0,1.0,0.3333333333333333
69,5,6,10532,HEU,False,3,0.6666666666666666,1371300000.0,0.6666666666666666,0.6666666666666666
70,5,6,10532,HEU,False,3,0.5,1371300000.0,0.3333333333333333,0.6666666666666666
71,5,6,10532,HEU,False,3,0.3333333333333333,1371300000.0,0.6666666666666666,0.0
72,5,6,10532,HEU,False,3,0.5,1371300000.0,0.3333333333333333,0.6666666666666666
73,5,6,10532,HEU,False,3,0.6666666666666666,1371300000.0,1.0,0.3333333333333333
74,5,6,10532,HEU,False,3,0.8333333333333334,1371300000.0,1.0,0.6666666666666666
75,5,6,10532,HEU,False,3,0.8333333333333334,1371300000.0,1.0,0.6666666666666666
