qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_bqc
0,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
1,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
2,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
3,0,6,None,NAIVE,False,1,1.0,394860000.0,1.0
4,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
5,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
6,0,6,None,NAIVE,False,1,0.8333333333333334,394860000.0,0.8333333333333334
7,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
8,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
9,0,6,None,NAIVE,False,1,0.8333333333333334,394860000.0,0.8333333333333334
10,0,6,None,NAIVE,False,1,0.5,394860000.0,0.5
11,0,6,None,NAIVE,False,1,1.0,394860000.0,1.0
12,0,6,None,NAIVE,False,1,0.8333333333333334,394860000.0,0.8333333333333334
13,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
14,0,6,None,NAIVE,False,1,0.5,394860000.0,0.5
15,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
16,0,6,None,NAIVE,False,1,0.8333333333333334,394860000.0,0.8333333333333334
17,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
18,0,6,None,NAIVE,False,1,0.5,394860000.0,0.5
19,0,6,None,NAIVE,False,1,1.0,394860000.0,1.0
20,0,6,None,NAIVE,False,1,0.8333333333333334,394860000.0,0.8333333333333334
21,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
22,0,6,None,NAIVE,False,1,0.8333333333333334,394860000.0,0.8333333333333334
23,0,6,None,NAIVE,False,1,0.3333333333333333,394860000.0,0.3333333333333333
24,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
25,0,6,None,NAIVE,False,1,0.8333333333333334,394860000.0,0.8333333333333334
26,0,6,None,NAIVE,False,1,0.5,394860000.0,0.5
27,0,6,None,NAIVE,False,1,0.5,394860000.0,0.5
28,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
29,0,6,None,NAIVE,False,1,0.5,394860000.0,0.5
30,0,6,None,NAIVE,False,1,0.5,394860000.0,0.5
31,0,6,None,NAIVE,False,1,0.3333333333333333,394860000.0,0.3333333333333333
32,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
33,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
34,0,6,None,NAIVE,False,1,0.5,394860000.0,0.5
35,0,6,None,NAIVE,False,1,0.3333333333333333,394860000.0,0.3333333333333333
36,0,6,None,NAIVE,False,1,0.5,394860000.0,0.5
37,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
38,0,6,None,NAIVE,False,1,0.8333333333333334,394860000.0,0.8333333333333334
39,0,6,None,NAIVE,False,1,0.8333333333333334,394860000.0,0.8333333333333334
40,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
41,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
42,0,6,None,NAIVE,False,1,0.8333333333333334,394860000.0,0.8333333333333334
