qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_pingpong
0,1,6,10152,HEU,False,3,0.3333333333333333,1102590000.0,0.3333333333333333
1,1,6,10152,HEU,False,3,0.8333333333333334,1102590000.0,0.8333333333333334
2,1,6,10152,HEU,False,3,0.1666666666666666,1102610000.0,0.1666666666666666
3,1,6,10152,HEU,False,3,0.8333333333333334,1102590000.0,0.8333333333333334
4,1,6,10152,HEU,False,3,0.8333333333333334,1102590000.0,0.8333333333333334
5,1,6,10152,HEU,False,3,0.8333333333333334,1102590000.0,0.8333333333333334
6,1,6,10152,HEU,False,3,0.8333333333333334,1102610000.0,0.8333333333333334
7,1,6,10152,HEU,False,3,0.5,1102590000.0,0.5
8,1,6,10152,HEU,False,3,0.3333333333333333,1102590000.0,0.3333333333333333
9,1,6,10152,HEU,False,3,0.5,1102590000.0,0.5
10,1,6,10152,HEU,False,3,0.5,1102570000.0,0.5
11,1,6,10152,HEU,False,3,0.8333333333333334,1102610000.0,0.8333333333333334
12,1,6,10152,HEU,False,3,0.8333333333333334,1102590000.0,0.8333333333333334
13,1,6,10152,HEU,False,3,0.6666666666666666,1102570000.0,0.6666666666666666
14,1,6,10152,HEU,False,3,0.6666666666666666,1102610000.0,0.6666666666666666
15,1,6,10152,HEU,False,3,0.6666666666666666,1102570000.0,0.6666666666666666
16,1,6,10152,HEU,False,3,0.6666666666666666,1102590000.0,0.6666666666666666
17,1,6,10152,HEU,False,3,0.8333333333333334,1102610000.0,0.8333333333333334
18,1,6,10152,HEU,False,3,0.5,1102590000.0,0.5
19,1,6,10152,HEU,False,3,0.8333333333333334,1102590000.0,0.8333333333333334
20,1,6,10152,HEU,False,3,0.8333333333333334,1102570000.0,0.8333333333333334
21,1,6,10152,HEU,False,3,0.8333333333333334,1102610000.0,0.8333333333333334
22,1,6,10152,HEU,False,3,0.3333333333333333,1102570000.0,0.3333333333333333
23,1,6,10152,HEU,False,3,0.6666666666666666,1102610000.0,0.6666666666666666
24,1,6,10152,HEU,False,3,0.3333333333333333,1102570000.0,0.3333333333333333
25,1,6,10152,HEU,False,3,1.0,1102590000.0,1.0
26,1,6,10152,HEU,False,3,0.6666666666666666,1102590000.0,0.6666666666666666
27,1,6,10152,HEU,False,3,0.5,1102590000.0,0.5
28,1,6,10152,HEU,False,3,0.8333333333333334,1102610000.0,0.8333333333333334
29,1,6,10152,HEU,False,3,0.0,1102590000.0,0.0
30,1,6,10152,HEU,False,3,0.6666666666666666,1102610000.0,0.6666666666666666
31,1,6,10152,HEU,False,3,0.5,1102590000.0,0.5
32,1,6,10152,HEU,False,3,0.6666666666666666,1102570000.0,0.6666666666666666
33,1,6,10152,HEU,False,3,0.1666666666666666,1102570000.0,0.1666666666666666
34,1,6,10152,HEU,False,3,0.8333333333333334,1102590000.0,0.8333333333333334
35,1,6,10152,HEU,False,3,0.8333333333333334,1102590000.0,0.8333333333333334
36,1,6,10152,HEU,False,3,0.6666666666666666,1102570000.0,0.6666666666666666
37,1,6,10152,HEU,False,3,0.6666666666666666,1102610000.0,0.6666666666666666
38,1,6,10152,HEU,False,3,1.0,1102570000.0,1.0
39,1,6,10152,HEU,False,3,0.8333333333333334,1102590000.0,0.8333333333333334
40,1,6,10152,HEU,False,3,0.8333333333333334,1102590000.0,0.8333333333333334
