qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_pingpong
0,1,6,None,NAIVE,False,1,0.3333333333333333,273180000.0,0.3333333333333333
1,1,6,None,NAIVE,False,1,0.8333333333333334,273120000.0,0.8333333333333334
2,1,6,None,NAIVE,False,1,0.8333333333333334,273180000.0,0.8333333333333334
3,1,6,None,NAIVE,False,1,0.5,273140000.0,0.5
4,1,6,None,NAIVE,False,1,0.5,273140000.0,0.5
5,1,6,None,NAIVE,False,1,0.8333333333333334,273160000.0,0.8333333333333334
6,1,6,None,NAIVE,False,1,0.8333333333333334,273240000.0,0.8333333333333334
7,1,6,None,NAIVE,False,1,0.5,273220000.0,0.5
8,1,6,None,NAIVE,False,1,0.5,273080000.0,0.5
9,1,6,None,NAIVE,False,1,0.6666666666666666,273140000.0,0.6666666666666666
10,1,6,None,NAIVE,False,1,0.3333333333333333,273160000.0,0.3333333333333333
11,1,6,None,NAIVE,False,1,0.8333333333333334,273200000.0,0.8333333333333334
12,1,6,None,NAIVE,False,1,0.5,273160000.0,0.5
13,1,6,None,NAIVE,False,1,0.6666666666666666,273160000.0,0.6666666666666666
14,1,6,None,NAIVE,False,1,0.5,273320000.0,0.5
15,1,6,None,NAIVE,False,1,0.5,273240000.0,0.5
16,1,6,None,NAIVE,False,1,0.3333333333333333,273160000.0,0.3333333333333333
17,1,6,None,NAIVE,False,1,0.5,273200000.0,0.5
18,1,6,None,NAIVE,False,1,0.8333333333333334,273240000.0,0.8333333333333334
19,1,6,None,NAIVE,False,1,0.6666666666666666,273240000.0,0.6666666666666666
20,1,6,None,NAIVE,False,1,0.8333333333333334,273140000.0,0.8333333333333334
21,1,6,None,NAIVE,False,1,0.3333333333333333,273200000.0,0.3333333333333333
22,1,6,None,NAIVE,False,1,0.6666666666666666,273180000.0,0.6666666666666666
23,1,6,None,NAIVE,False,1,0.6666666666666666,273160000.0,0.6666666666666666
24,1,6,None,NAIVE,False,1,0.5,273120000.0,0.5
25,1,6,None,NAIVE,False,1,0.6666666666666666,273200000.0,0.6666666666666666
26,1,6,None,NAIVE,False,1,0.6666666666666666,273180000.0,0.6666666666666666
27,1,6,None,NAIVE,False,1,0.5,273180000.0,0.5
28,1,6,None,NAIVE,False,1,0.16666666666666666,273280000.0,0.16666666666666666
29,1,6,None,NAIVE,False,1,0.8333333333333334,273240000.0,0.8333333333333334
30,1,6,None,NAIVE,False,1,1.0,273140000.0,1.0
31,1,6,None,NAIVE,False,1,1.0,273160000.0,1.0
32,1,6,None,NAIVE,False,1,0.3333333333333333,273200000.0,0.3333333333333333
33,1,6,None,NAIVE,False,1,0.8333333333333334,273120000.0,0.8333333333333334
34,1,6,None,NAIVE,False,1,1.0,273180000.0,1.0
35,1,6,None,NAIVE,False,1,0.8333333333333334,273160000.0,0.8333333333333334
36,1,6,None,NAIVE,False,1,1.0,273220000.0,1.0
37,1,6,None,NAIVE,False,1,0.6666666666666666,273160000.0,0.6666666666666666
38,1,6,None,NAIVE,False,1,1.0,273140000.0,1.0
39,1,6,None,NAIVE,False,1,0.6666666666666666,273180000.0,0.6666666666666666
40,1,6,None,NAIVE,False,1,0.5,273260000.0,0.5
41,1,6,None,NAIVE,False,1,1.0,273180000.0,1.0
42,1,6,None,NAIVE,False,1,0.5,273260000.0,0.5
43,1,6,None,NAIVE,False,1,0.6666666666666666,273180000.0,0.6666666666666666
44,1,6,None,NAIVE,False,1,0.6666666666666666,273240000.0,0.6666666666666666
45,1,6,None,NAIVE,False,1,0.6666666666666666,273060000.0,0.6666666666666666
46,1,6,None,NAIVE,False,1,0.8333333333333334,273120000.0,0.8333333333333334
47,1,6,None,NAIVE,False,1,0.5,273180000.0,0.5
48,1,6,None,NAIVE,False,1,0.5,273180000.0,0.5
49,1,6,None,NAIVE,False,1,1.0,273160000.0,1.0
50,1,6,None,NAIVE,False,1,0.6666666666666666,273100000.0,0.6666666666666666
51,1,6,None,NAIVE,False,1,0.6666666666666666,273100000.0,0.6666666666666666
52,1,6,None,NAIVE,False,1,0.6666666666666666,273100000.0,0.6666666666666666
53,1,6,None,NAIVE,False,1,0.5,273180000.0,0.5
54,1,6,None,NAIVE,False,1,0.8333333333333334,273180000.0,0.8333333333333334
55,1,6,None,NAIVE,False,1,0.6666666666666666,273180000.0,0.6666666666666666
56,1,6,None,NAIVE,False,1,0.5,273220000.0,0.5
57,1,6,None,NAIVE,False,1,0.8333333333333334,273220000.0,0.8333333333333334
58,1,6,None,NAIVE,False,1,0.6666666666666666,273160000.0,0.6666666666666666
59,1,6,None,NAIVE,False,1,0.6666666666666666,273140000.0,0.6666666666666666
