qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_qkd
0,2,6,66,HEU,False,3,0.5,185220000.0,0.5
1,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
2,2,6,66,HEU,False,3,1.0,185220000.0,1.0
3,2,6,66,HEU,False,3,0.5,185220000.0,0.5
4,2,6,66,HEU,False,3,0.5,185220000.0,0.5
5,2,6,66,HEU,False,3,0.8333333333333334,185220000.0,0.8333333333333334
6,2,6,66,HEU,False,3,0.5,185220000.0,0.5
7,2,6,66,HEU,False,3,0.3333333333333333,185220000.0,0.3333333333333333
8,2,6,66,HEU,False,3,0.8333333333333334,185220000.0,0.8333333333333334
9,2,6,66,HEU,False,3,1.0,185220000.0,1.0
10,2,6,66,HEU,False,3,0.8333333333333334,185220000.0,0.8333333333333334
11,2,6,66,HEU,False,3,0.3333333333333333,185220000.0,0.3333333333333333
12,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
13,2,6,66,HEU,False,3,0.8333333333333334,185220000.0,0.8333333333333334
14,2,6,66,HEU,False,3,0.3333333333333333,185220000.0,0.3333333333333333
15,2,6,66,HEU,False,3,0.3333333333333333,185220000.0,0.3333333333333333
16,2,6,66,HEU,False,3,0.5,185220000.0,0.5
17,2,6,66,HEU,False,3,0.3333333333333333,185220000.0,0.3333333333333333
18,2,6,66,HEU,False,3,0.8333333333333334,185220000.0,0.8333333333333334
19,2,6,66,HEU,False,3,0.5,185220000.0,0.5
20,2,6,66,HEU,False,3,0.5,185220000.0,0.5
21,2,6,66,HEU,False,3,0.8333333333333334,185220000.0,0.8333333333333334
22,2,6,66,HEU,False,3,0.5,185220000.0,0.5
23,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
24,2,6,66,HEU,False,3,0.5,185220000.0,0.5
25,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
26,2,6,66,HEU,False,3,0.3333333333333333,185220000.0,0.3333333333333333
27,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
28,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
29,2,6,66,HEU,False,3,0.5,185220000.0,0.5
30,2,6,66,HEU,False,3,0.8333333333333334,185220000.0,0.8333333333333334
31,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
32,2,6,66,HEU,False,3,0.5,185220000.0,0.5
33,2,6,66,HEU,False,3,0.5,185220000.0,0.5
34,2,6,66,HEU,False,3,0.1666666666666666,185220000.0,0.1666666666666666
35,2,6,66,HEU,False,3,0.5,185220000.0,0.5
36,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
37,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
38,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
39,2,6,66,HEU,False,3,0.5,185220000.0,0.5
40,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
41,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
42,2,6,66,HEU,False,3,0.5,185220000.0,0.5
43,2,6,66,HEU,False,3,0.5,185220000.0,0.5
44,2,6,66,HEU,False,3,0.8333333333333334,185220000.0,0.8333333333333334
45,2,6,66,HEU,False,3,0.3333333333333333,185220000.0,0.3333333333333333
46,2,6,66,HEU,False,3,0.5,185220000.0,0.5
47,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
48,2,6,66,HEU,False,3,0.8333333333333334,185220000.0,0.8333333333333334
49,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
50,2,6,66,HEU,False,3,0.5,185220000.0,0.5
51,2,6,66,HEU,False,3,0.3333333333333333,185220000.0,0.3333333333333333
52,2,6,66,HEU,False,3,0.3333333333333333,185220000.0,0.3333333333333333
53,2,6,66,HEU,False,3,0.8333333333333334,185220000.0,0.8333333333333334
54,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
55,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
56,2,6,66,HEU,False,3,0.8333333333333334,185220000.0,0.8333333333333334
57,2,6,66,HEU,False,3,0.1666666666666666,185220000.0,0.1666666666666666
58,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
59,2,6,66,HEU,False,3,0.3333333333333333,185220000.0,0.3333333333333333
60,2,6,66,HEU,False,3,0.5,185220000.0,0.5
61,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
62,2,6,66,HEU,False,3,0.3333333333333333,185220000.0,0.3333333333333333
63,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
64,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
65,2,6,66,HEU,False,3,0.5,185220000.0,0.5
66,2,6,66,HEU,False,3,0.5,185220000.0,0.5
67,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
68,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
69,2,6,66,HEU,False,3,0.5,185220000.0,0.5
70,2,6,66,HEU,False,3,0.8333333333333334,185220000.0,0.8333333333333334
71,2,6,66,HEU,False,3,0.5,185220000.0,0.5
72,2,6,66,HEU,False,3,0.8333333333333334,185220000.0,0.8333333333333334
73,2,6,66,HEU,False,3,0.1666666666666666,185220000.0,0.1666666666666666
74,2,6,66,HEU,False,3,0.8333333333333334,185220000.0,0.8333333333333334
75,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
76,2,6,66,HEU,False,3,0.1666666666666666,185220000.0,0.1666666666666666
77,2,6,66,HEU,False,3,0.3333333333333333,185220000.0,0.3333333333333333
78,2,6,66,HEU,False,3,0.3333333333333333,185220000.0,0.3333333333333333
79,2,6,66,HEU,False,3,0.8333333333333334,185220000.0,0.8333333333333334
80,2,6,66,HEU,False,3,0.1666666666666666,185220000.0,0.1666666666666666
81,2,6,66,HEU,False,3,0.5,185220000.0,0.5
82,2,6,66,HEU,False,3,0.3333333333333333,185220000.0,0.3333333333333333
83,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
84,2,6,66,HEU,False,3,0.5,185220000.0,0.5
85,2,6,66,HEU,False,3,0.5,185220000.0,0.5
86,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
87,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
88,2,6,66,HEU,False,3,0.5,185220000.0,0.5
89,2,6,66,HEU,False,3,0.5,185220000.0,0.5
90,2,6,66,HEU,False,3,0.5,185220000.0,0.5
91,2,6,66,HEU,False,3,0.8333333333333334,185220000.0,0.8333333333333334
92,2,6,66,HEU,False,3,0.1666666666666666,185220000.0,0.1666666666666666
93,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
94,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
95,2,6,66,HEU,False,3,0.3333333333333333,185220000.0,0.3333333333333333
96,2,6,66,HEU,False,3,0.5,185220000.0,0.5
97,2,6,66,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
98,2,6,66,HEU,False,3,0.5,185220000.0,0.5
99,2,6,66,HEU,False,3,0.8333333333333334,185220000.0,0.8333333333333334
0,2,6,22,HEU,False,3,0.5,185220000.0,0.5
1,2,6,22,HEU,False,3,0.5,185220000.0,0.5
2,2,6,22,HEU,False,3,0.0,185220000.0,0.0
3,2,6,22,HEU,False,3,0.3333333333333333,185220000.0,0.3333333333333333
4,2,6,22,HEU,False,3,0.8333333333333334,185220000.0,0.8333333333333334
5,2,6,22,HEU,False,3,1.0,185220000.0,1.0
6,2,6,22,HEU,False,3,0.3333333333333333,185220000.0,0.3333333333333333
7,2,6,22,HEU,False,3,0.5,185220000.0,0.5
8,2,6,22,HEU,False,3,0.3333333333333333,185220000.0,0.3333333333333333
9,2,6,22,HEU,False,3,0.5,185220000.0,0.5
10,2,6,22,HEU,False,3,1.0,185220000.0,1.0
11,2,6,22,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
12,2,6,22,HEU,False,3,0.5,185220000.0,0.5
13,2,6,22,HEU,False,3,0.3333333333333333,185220000.0,0.3333333333333333
14,2,6,22,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
15,2,6,22,HEU,False,3,0.3333333333333333,185220000.0,0.3333333333333333
16,2,6,22,HEU,False,3,0.5,185220000.0,0.5
17,2,6,22,HEU,False,3,0.5,185220000.0,0.5
18,2,6,22,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
19,2,6,22,HEU,False,3,0.8333333333333334,185220000.0,0.8333333333333334
20,2,6,22,HEU,False,3,0.3333333333333333,185220000.0,0.3333333333333333
21,2,6,22,HEU,False,3,0.5,185220000.0,0.5
22,2,6,22,HEU,False,3,0.8333333333333334,185220000.0,0.8333333333333334
23,2,6,22,HEU,False,3,0.3333333333333333,185220000.0,0.3333333333333333
24,2,6,22,HEU,False,3,0.5,185220000.0,0.5
25,2,6,22,HEU,False,3,0.5,185220000.0,0.5
26,2,6,22,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
27,2,6,22,HEU,False,3,0.8333333333333334,185220000.0,0.8333333333333334
28,2,6,22,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
29,2,6,22,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
30,2,6,22,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
31,2,6,22,HEU,False,3,0.6666666666666666,185220000.0,0.6666666666666666
32,2,6,22,HEU,False,3,1.0,185220000.0,1.0
