qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_qkd
0,2,6,None,NAIVE,False,1,0.3333333333333333,193920000.0,0.3333333333333333
1,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
2,2,6,None,NAIVE,False,1,0.6666666666666666,193920000.0,0.6666666666666666
3,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
4,2,6,None,NAIVE,False,1,0.3333333333333333,193920000.0,0.3333333333333333
5,2,6,None,NAIVE,False,1,0.6666666666666666,193920000.0,0.6666666666666666
6,2,6,None,NAIVE,False,1,0.3333333333333333,193920000.0,0.3333333333333333
7,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
8,2,6,None,NAIVE,False,1,0.3333333333333333,193920000.0,0.3333333333333333
9,2,6,None,NAIVE,False,1,0.8333333333333334,193920000.0,0.8333333333333334
10,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
11,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
12,2,6,None,NAIVE,False,1,0.16666666666666666,193920000.0,0.16666666666666666
13,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
14,2,6,None,NAIVE,False,1,0.6666666666666666,193920000.0,0.6666666666666666
15,2,6,None,NAIVE,False,1,0.8333333333333334,193920000.0,0.8333333333333334
16,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
17,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
18,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
19,2,6,None,NAIVE,False,1,0.8333333333333334,193920000.0,0.8333333333333334
20,2,6,None,NAIVE,False,1,0.3333333333333333,193920000.0,0.3333333333333333
21,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
22,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
23,2,6,None,NAIVE,False,1,0.3333333333333333,193920000.0,0.3333333333333333
24,2,6,None,NAIVE,False,1,0.8333333333333334,193920000.0,0.8333333333333334
25,2,6,None,NAIVE,False,1,1.0,193920000.0,1.0
26,2,6,None,NAIVE,False,1,0.3333333333333333,193920000.0,0.3333333333333333
27,2,6,None,NAIVE,False,1,0.16666666666666666,193920000.0,0.16666666666666666
28,2,6,None,NAIVE,False,1,0.8333333333333334,193920000.0,0.8333333333333334
29,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
30,2,6,None,NAIVE,False,1,0.3333333333333333,193920000.0,0.3333333333333333
31,2,6,None,NAIVE,False,1,0.6666666666666666,193920000.0,0.6666666666666666
32,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
33,2,6,None,NAIVE,False,1,0.8333333333333334,193920000.0,0.8333333333333334
34,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
35,2,6,None,NAIVE,False,1,0.3333333333333333,193920000.0,0.3333333333333333
36,2,6,None,NAIVE,False,1,0.8333333333333334,193920000.0,0.8333333333333334
37,2,6,None,NAIVE,False,1,0.6666666666666666,193920000.0,0.6666666666666666
38,2,6,None,NAIVE,False,1,0.3333333333333333,193920000.0,0.3333333333333333
39,2,6,None,NAIVE,False,1,0.8333333333333334,193920000.0,0.8333333333333334
40,2,6,None,NAIVE,False,1,0.3333333333333333,193920000.0,0.3333333333333333
41,2,6,None,NAIVE,False,1,0.8333333333333334,193920000.0,0.8333333333333334
42,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
43,2,6,None,NAIVE,False,1,0.8333333333333334,193920000.0,0.8333333333333334
44,2,6,None,NAIVE,False,1,0.3333333333333333,193920000.0,0.3333333333333333
45,2,6,None,NAIVE,False,1,0.6666666666666666,193920000.0,0.6666666666666666
46,2,6,None,NAIVE,False,1,0.8333333333333334,193920000.0,0.8333333333333334
47,2,6,None,NAIVE,False,1,0.16666666666666666,193920000.0,0.16666666666666666
48,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
49,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
50,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
51,2,6,None,NAIVE,False,1,0.3333333333333333,193920000.0,0.3333333333333333
52,2,6,None,NAIVE,False,1,0.6666666666666666,193920000.0,0.6666666666666666
53,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
54,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
55,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
56,2,6,None,NAIVE,False,1,0.3333333333333333,193920000.0,0.3333333333333333
57,2,6,None,NAIVE,False,1,0.6666666666666666,193920000.0,0.6666666666666666
58,2,6,None,NAIVE,False,1,0.6666666666666666,193920000.0,0.6666666666666666
59,2,6,None,NAIVE,False,1,0.8333333333333334,193920000.0,0.8333333333333334
60,2,6,None,NAIVE,False,1,0.16666666666666666,193920000.0,0.16666666666666666
61,2,6,None,NAIVE,False,1,0.3333333333333333,193920000.0,0.3333333333333333
62,2,6,None,NAIVE,False,1,0.8333333333333334,193920000.0,0.8333333333333334
63,2,6,None,NAIVE,False,1,0.6666666666666666,193920000.0,0.6666666666666666
64,2,6,None,NAIVE,False,1,1.0,193920000.0,1.0
65,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
66,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
67,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
68,2,6,None,NAIVE,False,1,0.3333333333333333,193920000.0,0.3333333333333333
69,2,6,None,NAIVE,False,1,0.3333333333333333,193920000.0,0.3333333333333333
70,2,6,None,NAIVE,False,1,0.8333333333333334,193920000.0,0.8333333333333334
71,2,6,None,NAIVE,False,1,0.8333333333333334,193920000.0,0.8333333333333334
72,2,6,None,NAIVE,False,1,0.8333333333333334,193920000.0,0.8333333333333334
73,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
74,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
75,2,6,None,NAIVE,False,1,0.6666666666666666,193920000.0,0.6666666666666666
76,2,6,None,NAIVE,False,1,0.3333333333333333,193920000.0,0.3333333333333333
77,2,6,None,NAIVE,False,1,0.6666666666666666,193920000.0,0.6666666666666666
78,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
79,2,6,None,NAIVE,False,1,1.0,193920000.0,1.0
80,2,6,None,NAIVE,False,1,0.6666666666666666,193920000.0,0.6666666666666666
81,2,6,None,NAIVE,False,1,1.0,193920000.0,1.0
82,2,6,None,NAIVE,False,1,0.16666666666666666,193920000.0,0.16666666666666666
83,2,6,None,NAIVE,False,1,0.6666666666666666,193920000.0,0.6666666666666666
84,2,6,None,NAIVE,False,1,0.3333333333333333,193920000.0,0.3333333333333333
85,2,6,None,NAIVE,False,1,0.3333333333333333,193920000.0,0.3333333333333333
86,2,6,None,NAIVE,False,1,0.6666666666666666,193920000.0,0.6666666666666666
87,2,6,None,NAIVE,False,1,0.6666666666666666,193920000.0,0.6666666666666666
88,2,6,None,NAIVE,False,1,0.8333333333333334,193920000.0,0.8333333333333334
89,2,6,None,NAIVE,False,1,0.6666666666666666,193920000.0,0.6666666666666666
90,2,6,None,NAIVE,False,1,0.6666666666666666,193920000.0,0.6666666666666666
91,2,6,None,NAIVE,False,1,0.6666666666666666,193920000.0,0.6666666666666666
92,2,6,None,NAIVE,False,1,0.3333333333333333,193920000.0,0.3333333333333333
93,2,6,None,NAIVE,False,1,0.8333333333333334,193920000.0,0.8333333333333334
94,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
95,2,6,None,NAIVE,False,1,1.0,193920000.0,1.0
96,2,6,None,NAIVE,False,1,0.3333333333333333,193920000.0,0.3333333333333333
97,2,6,None,NAIVE,False,1,0.5,193920000.0,0.5
