qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_bqc,success_probability_pingpong
0,3,6,None,NAIVE,False,1,1.0,406270000.0,1.0,1.0
1,3,6,None,NAIVE,False,1,0.3333333333333333,406270000.0,0.3333333333333333,0.3333333333333333
2,3,6,None,NAIVE,False,1,0.6666666666666666,406290000.0,0.3333333333333333,1.0
3,3,6,None,NAIVE,False,1,0.6666666666666666,406310000.0,0.6666666666666666,0.6666666666666666
4,3,6,None,NAIVE,False,1,0.5,406310000.0,0.6666666666666666,0.3333333333333333
5,3,6,None,NAIVE,False,1,0.6666666666666666,406290000.0,0.3333333333333333,1.0
6,3,6,None,NAIVE,False,1,0.8333333333333334,406290000.0,1.0,0.6666666666666666
7,3,6,None,NAIVE,False,1,0.6666666666666666,406290000.0,0.6666666666666666,0.6666666666666666
8,3,6,None,NAIVE,False,1,0.5,406290000.0,0.3333333333333333,0.6666666666666666
9,3,6,None,NAIVE,False,1,0.16666666666666666,406290000.0,0.3333333333333333,0.0
10,3,6,None,NAIVE,False,1,0.5,406290000.0,0.6666666666666666,0.3333333333333333
11,3,6,None,NAIVE,False,1,0.5,406290000.0,0.3333333333333333,0.6666666666666666
12,3,6,None,NAIVE,False,1,0.6666666666666666,406290000.0,0.6666666666666666,0.6666666666666666
13,3,6,None,NAIVE,False,1,0.6666666666666666,406290000.0,0.6666666666666666,0.6666666666666666
14,3,6,None,NAIVE,False,1,0.8333333333333334,406290000.0,0.6666666666666666,1.0
15,3,6,None,NAIVE,False,1,0.6666666666666666,406310000.0,0.6666666666666666,0.6666666666666666
16,3,6,None,NAIVE,False,1,0.5,406310000.0,0.0,1.0
17,3,6,None,NAIVE,False,1,0.5,406310000.0,0.3333333333333333,0.6666666666666666
18,3,6,None,NAIVE,False,1,0.8333333333333334,406270000.0,1.0,0.6666666666666666
19,3,6,None,NAIVE,False,1,0.3333333333333333,406290000.0,0.3333333333333333,0.3333333333333333
20,3,6,None,NAIVE,False,1,0.6666666666666666,406290000.0,1.0,0.3333333333333333
21,3,6,None,NAIVE,False,1,0.8333333333333334,406290000.0,0.6666666666666666,1.0
22,3,6,None,NAIVE,False,1,0.8333333333333334,406290000.0,1.0,0.6666666666666666
23,3,6,None,NAIVE,False,1,0.6666666666666666,406290000.0,0.6666666666666666,0.6666666666666666
24,3,6,None,NAIVE,False,1,1.0,406290000.0,1.0,1.0
25,3,6,None,NAIVE,False,1,0.8333333333333334,406310000.0,1.0,0.6666666666666666
26,3,6,None,NAIVE,False,1,0.6666666666666666,406290000.0,0.6666666666666666,0.6666666666666666
27,3,6,None,NAIVE,False,1,0.5,406270000.0,0.3333333333333333,0.6666666666666666
28,3,6,None,NAIVE,False,1,0.6666666666666666,406310000.0,0.3333333333333333,1.0
29,3,6,None,NAIVE,False,1,0.5,406290000.0,0.3333333333333333,0.6666666666666666
30,3,6,None,NAIVE,False,1,0.8333333333333334,406290000.0,1.0,0.6666666666666666
31,3,6,None,NAIVE,False,1,0.8333333333333334,406290000.0,1.0,0.6666666666666666
32,3,6,None,NAIVE,False,1,0.6666666666666666,406290000.0,0.6666666666666666,0.6666666666666666
33,3,6,None,NAIVE,False,1,0.8333333333333334,406310000.0,1.0,0.6666666666666666
34,3,6,None,NAIVE,False,1,1.0,406270000.0,1.0,1.0
35,3,6,None,NAIVE,False,1,0.3333333333333333,406310000.0,0.3333333333333333,0.3333333333333333
36,3,6,None,NAIVE,False,1,0.8333333333333334,406290000.0,0.6666666666666666,1.0
37,3,6,None,NAIVE,False,1,0.3333333333333333,406310000.0,0.0,0.6666666666666666
38,3,6,None,NAIVE,False,1,0.5,406270000.0,0.3333333333333333,0.6666666666666666
39,3,6,None,NAIVE,False,1,0.16666666666666666,406310000.0,0.3333333333333333,0.0
40,3,6,None,NAIVE,False,1,0.3333333333333333,406290000.0,0.3333333333333333,0.3333333333333333
41,3,6,None,NAIVE,False,1,0.8333333333333334,406290000.0,1.0,0.6666666666666666
42,3,6,None,NAIVE,False,1,0.16666666666666666,406310000.0,0.0,0.3333333333333333
43,3,6,None,NAIVE,False,1,1.0,406290000.0,1.0,1.0
44,3,6,None,NAIVE,False,1,1.0,406290000.0,1.0,1.0
45,3,6,None,NAIVE,False,1,0.3333333333333333,406290000.0,0.3333333333333333,0.3333333333333333
46,3,6,None,NAIVE,False,1,0.5,406290000.0,0.6666666666666666,0.3333333333333333
47,3,6,None,NAIVE,False,1,0.6666666666666666,406290000.0,1.0,0.3333333333333333
48,3,6,None,NAIVE,False,1,0.6666666666666666,406290000.0,0.6666666666666666,0.6666666666666666
49,3,6,None,NAIVE,False,1,0.3333333333333333,406290000.0,0.0,0.6666666666666666
50,3,6,None,NAIVE,False,1,0.5,406290000.0,0.3333333333333333,0.6666666666666666
51,3,6,None,NAIVE,False,1,0.8333333333333334,406270000.0,0.6666666666666666,1.0
52,3,6,None,NAIVE,False,1,0.6666666666666666,406310000.0,0.6666666666666666,0.6666666666666666
53,3,6,None,NAIVE,False,1,0.5,406310000.0,0.6666666666666666,0.3333333333333333
54,3,6,None,NAIVE,False,1,0.3333333333333333,406310000.0,0.6666666666666666,0.0
55,3,6,None,NAIVE,False,1,0.8333333333333334,406310000.0,0.6666666666666666,1.0
56,3,6,None,NAIVE,False,1,0.3333333333333333,406290000.0,0.6666666666666666,0.0
57,3,6,None,NAIVE,False,1,0.6666666666666666,406270000.0,1.0,0.3333333333333333
58,3,6,None,NAIVE,False,1,0.6666666666666666,406270000.0,0.6666666666666666,0.6666666666666666
59,3,6,None,NAIVE,False,1,0.5,406310000.0,0.6666666666666666,0.3333333333333333
60,3,6,None,NAIVE,False,1,0.5,406290000.0,1.0,0.0
61,3,6,None,NAIVE,False,1,0.8333333333333334,406270000.0,0.6666666666666666,1.0
62,3,6,None,NAIVE,False,1,0.6666666666666666,406310000.0,0.6666666666666666,0.6666666666666666
63,3,6,None,NAIVE,False,1,0.6666666666666666,406310000.0,0.3333333333333333,1.0
64,3,6,None,NAIVE,False,1,0.5,406270000.0,0.3333333333333333,0.6666666666666666
65,3,6,None,NAIVE,False,1,0.6666666666666666,406290000.0,0.3333333333333333,1.0
66,3,6,None,NAIVE,False,1,0.6666666666666666,406290000.0,0.6666666666666666,0.6666666666666666
67,3,6,None,NAIVE,False,1,0.8333333333333334,406270000.0,0.6666666666666666,1.0
68,3,6,None,NAIVE,False,1,0.8333333333333334,406290000.0,1.0,0.6666666666666666
69,3,6,None,NAIVE,False,1,0.3333333333333333,406290000.0,0.3333333333333333,0.3333333333333333
70,3,6,None,NAIVE,False,1,1.0,406310000.0,1.0,1.0
71,3,6,None,NAIVE,False,1,0.6666666666666666,406270000.0,1.0,0.3333333333333333
72,3,6,None,NAIVE,False,1,0.8333333333333334,406290000.0,1.0,0.6666666666666666
73,3,6,None,NAIVE,False,1,0.6666666666666666,406310000.0,0.6666666666666666,0.6666666666666666
74,3,6,None,NAIVE,False,1,0.6666666666666666,406290000.0,0.6666666666666666,0.6666666666666666
75,3,6,None,NAIVE,False,1,0.6666666666666666,406310000.0,0.6666666666666666,0.6666666666666666
76,3,6,None,NAIVE,False,1,0.8333333333333334,406290000.0,0.6666666666666666,1.0
77,3,6,None,NAIVE,False,1,0.3333333333333333,406310000.0,0.3333333333333333,0.3333333333333333
78,3,6,None,NAIVE,False,1,0.5,406310000.0,0.6666666666666666,0.3333333333333333
79,3,6,None,NAIVE,False,1,0.6666666666666666,406270000.0,0.6666666666666666,0.6666666666666666
80,3,6,None,NAIVE,False,1,0.6666666666666666,406290000.0,0.6666666666666666,0.6666666666666666
81,3,6,None,NAIVE,False,1,0.5,406270000.0,0.6666666666666666,0.3333333333333333
82,3,6,None,NAIVE,False,1,0.6666666666666666,406290000.0,1.0,0.3333333333333333
83,3,6,None,NAIVE,False,1,0.6666666666666666,406270000.0,0.6666666666666666,0.6666666666666666
84,3,6,None,NAIVE,False,1,0.6666666666666666,406310000.0,0.3333333333333333,1.0
85,3,6,None,NAIVE,False,1,0.8333333333333334,406290000.0,0.6666666666666666,1.0
86,3,6,None,NAIVE,False,1,0.8333333333333334,406290000.0,1.0,0.6666666666666666
87,3,6,None,NAIVE,False,1,1.0,406270000.0,1.0,1.0
88,3,6,None,NAIVE,False,1,0.3333333333333333,406270000.0,0.3333333333333333,0.3333333333333333
89,3,6,None,NAIVE,False,1,0.6666666666666666,406310000.0,0.6666666666666666,0.6666666666666666
90,3,6,None,NAIVE,False,1,0.3333333333333333,406290000.0,0.3333333333333333,0.3333333333333333
91,3,6,None,NAIVE,False,1,0.6666666666666666,406310000.0,0.3333333333333333,1.0
92,3,6,None,NAIVE,False,1,0.8333333333333334,406290000.0,1.0,0.6666666666666666
93,3,6,None,NAIVE,False,1,1.0,406290000.0,1.0,1.0
94,3,6,None,NAIVE,False,1,0.8333333333333334,406310000.0,1.0,0.6666666666666666
95,3,6,None,NAIVE,False,1,0.5,406290000.0,0.3333333333333333,0.6666666666666666
96,3,6,None,NAIVE,False,1,0.8333333333333334,406290000.0,1.0,0.6666666666666666
97,3,6,None,NAIVE,False,1,0.16666666666666666,406290000.0,0.0,0.3333333333333333
98,3,6,None,NAIVE,False,1,0.3333333333333333,406310000.0,0.3333333333333333,0.3333333333333333
99,3,6,None,NAIVE,False,1,0.5,406290000.0,0.3333333333333333,0.6666666666666666
100,3,6,None,NAIVE,False,1,0.8333333333333334,406290000.0,0.6666666666666666,1.0
101,3,6,None,NAIVE,False,1,0.5,406270000.0,0.3333333333333333,0.6666666666666666
102,3,6,None,NAIVE,False,1,0.6666666666666666,406290000.0,0.6666666666666666,0.6666666666666666
103,3,6,None,NAIVE,False,1,0.5,406290000.0,0.6666666666666666,0.3333333333333333
104,3,6,None,NAIVE,False,1,0.8333333333333334,406310000.0,0.6666666666666666,1.0
105,3,6,None,NAIVE,False,1,0.8333333333333334,406290000.0,0.6666666666666666,1.0
106,3,6,None,NAIVE,False,1,0.5,406290000.0,0.6666666666666666,0.3333333333333333
107,3,6,None,NAIVE,False,1,0.6666666666666666,406270000.0,0.6666666666666666,0.6666666666666666
108,3,6,None,NAIVE,False,1,1.0,406290000.0,1.0,1.0
109,3,6,None,NAIVE,False,1,0.6666666666666666,406310000.0,0.6666666666666666,0.6666666666666666
110,3,6,None,NAIVE,False,1,0.6666666666666666,406270000.0,0.3333333333333333,1.0
111,3,6,None,NAIVE,False,1,0.5,406270000.0,0.3333333333333333,0.6666666666666666
112,3,6,None,NAIVE,False,1,0.5,406290000.0,0.6666666666666666,0.3333333333333333
113,3,6,None,NAIVE,False,1,0.3333333333333333,406270000.0,0.6666666666666666,0.0
114,3,6,None,NAIVE,False,1,0.6666666666666666,406310000.0,0.6666666666666666,0.6666666666666666
115,3,6,None,NAIVE,False,1,0.5,406290000.0,0.3333333333333333,0.6666666666666666
116,3,6,None,NAIVE,False,1,0.8333333333333334,406270000.0,1.0,0.6666666666666666
117,3,6,None,NAIVE,False,1,0.6666666666666666,406290000.0,0.6666666666666666,0.6666666666666666
118,3,6,None,NAIVE,False,1,0.3333333333333333,406310000.0,0.3333333333333333,0.3333333333333333
119,3,6,None,NAIVE,False,1,0.6666666666666666,406290000.0,0.3333333333333333,1.0
120,3,6,None,NAIVE,False,1,0.8333333333333334,406290000.0,1.0,0.6666666666666666
121,3,6,None,NAIVE,False,1,0.5,406270000.0,0.6666666666666666,0.3333333333333333
122,3,6,None,NAIVE,False,1,0.5,406270000.0,1.0,0.0
123,3,6,None,NAIVE,False,1,0.6666666666666666,406310000.0,0.6666666666666666,0.6666666666666666
124,3,6,None,NAIVE,False,1,0.6666666666666666,406290000.0,0.3333333333333333,1.0
125,3,6,None,NAIVE,False,1,0.5,406290000.0,0.6666666666666666,0.3333333333333333
126,3,6,None,NAIVE,False,1,0.6666666666666666,406310000.0,0.6666666666666666,0.6666666666666666
127,3,6,None,NAIVE,False,1,0.8333333333333334,406290000.0,1.0,0.6666666666666666
128,3,6,None,NAIVE,False,1,0.3333333333333333,406270000.0,0.3333333333333333,0.3333333333333333
129,3,6,None,NAIVE,False,1,0.6666666666666666,406290000.0,0.6666666666666666,0.6666666666666666
130,3,6,None,NAIVE,False,1,0.6666666666666666,406270000.0,0.3333333333333333,1.0
131,3,6,None,NAIVE,False,1,0.16666666666666666,406310000.0,0.3333333333333333,0.0
132,3,6,None,NAIVE,False,1,0.8333333333333334,406270000.0,0.6666666666666666,1.0
133,3,6,None,NAIVE,False,1,0.6666666666666666,406310000.0,0.6666666666666666,0.6666666666666666
134,3,6,None,NAIVE,False,1,0.6666666666666666,406290000.0,0.6666666666666666,0.6666666666666666
135,3,6,None,NAIVE,False,1,0.5,406290000.0,0.3333333333333333,0.6666666666666666
136,3,6,None,NAIVE,False,1,0.6666666666666666,406270000.0,0.6666666666666666,0.6666666666666666
137,3,6,None,NAIVE,False,1,0.5,406270000.0,0.6666666666666666,0.3333333333333333
138,3,6,None,NAIVE,False,1,0.6666666666666666,406290000.0,1.0,0.3333333333333333
139,3,6,None,NAIVE,False,1,0.6666666666666666,406290000.0,0.6666666666666666,0.6666666666666666
140,3,6,None,NAIVE,False,1,0.3333333333333333,406270000.0,0.3333333333333333,0.3333333333333333
141,3,6,None,NAIVE,False,1,0.8333333333333334,406270000.0,1.0,0.6666666666666666
142,3,6,None,NAIVE,False,1,0.16666666666666666,406290000.0,0.0,0.3333333333333333
143,3,6,None,NAIVE,False,1,0.5,406290000.0,0.3333333333333333,0.6666666666666666
144,3,6,None,NAIVE,False,1,0.6666666666666666,406310000.0,0.3333333333333333,1.0
