qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_bqc,success_probability_pingpong
0,3,6,111,OPT,False,3,0.8333333333333334,1162590000.0,0.6666666666666666,1.0
1,3,6,111,OPT,False,3,0.5,1162590000.0,0.3333333333333333,0.6666666666666666
2,3,6,111,OPT,False,3,0.8333333333333334,1162610000.0,1.0,0.6666666666666666
3,3,6,111,OPT,False,3,0.6666666666666666,1162590000.0,0.6666666666666666,0.6666666666666666
4,3,6,111,OPT,False,3,0.6666666666666666,1162570000.0,1.0,0.3333333333333333
5,3,6,111,OPT,False,3,0.3333333333333333,1162590000.0,0.3333333333333333,0.3333333333333333
6,3,6,111,OPT,False,3,1.0,1162590000.0,1.0,1.0
7,3,6,111,OPT,False,3,0.6666666666666666,1162570000.0,0.3333333333333333,1.0
8,3,6,111,OPT,False,3,0.6666666666666666,1162590000.0,0.6666666666666666,0.6666666666666666
9,3,6,111,OPT,False,3,0.6666666666666666,1162590000.0,1.0,0.3333333333333333
10,3,6,111,OPT,False,3,0.8333333333333334,1162590000.0,1.0,0.6666666666666666
11,3,6,111,OPT,False,3,0.8333333333333334,1162590000.0,1.0,0.6666666666666666
12,3,6,111,OPT,False,3,0.5,1162570000.0,0.3333333333333333,0.6666666666666666
13,3,6,111,OPT,False,3,1.0,1162590000.0,1.0,1.0
14,3,6,111,OPT,False,3,0.3333333333333333,1162610000.0,0.3333333333333333,0.3333333333333333
15,3,6,111,OPT,False,3,0.8333333333333334,1162610000.0,1.0,0.6666666666666666
16,3,6,111,OPT,False,3,0.6666666666666666,1162590000.0,0.6666666666666666,0.6666666666666666
17,3,6,111,OPT,False,3,0.3333333333333333,1162590000.0,0.3333333333333333,0.3333333333333333
18,3,6,111,OPT,False,3,0.5,1162590000.0,0.3333333333333333,0.6666666666666666
19,3,6,111,OPT,False,3,0.3333333333333333,1162610000.0,0.3333333333333333,0.3333333333333333
20,3,6,111,OPT,False,3,0.6666666666666666,1162570000.0,0.6666666666666666,0.6666666666666666
21,3,6,111,OPT,False,3,0.3333333333333333,1162590000.0,0.3333333333333333,0.3333333333333333
