qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_bqc,success_probability_qkd
0,4,6,102,HEU,False,3,0.3333333333333333,1291300000.0,0.3333333333333333,0.3333333333333333
1,4,6,102,HEU,False,3,0.6666666666666666,1291300000.0,1.0,0.3333333333333333
2,4,6,102,HEU,False,3,0.3333333333333333,1291300000.0,0.3333333333333333,0.3333333333333333
3,4,6,102,HEU,False,3,0.3333333333333333,1291300000.0,0.3333333333333333,0.3333333333333333
4,4,6,102,HEU,False,3,0.6666666666666666,1291300000.0,0.6666666666666666,0.6666666666666666
5,4,6,102,HEU,False,3,0.6666666666666666,1291300000.0,0.6666666666666666,0.6666666666666666
6,4,6,102,HEU,False,3,1.0,1291300000.0,1.0,1.0
7,4,6,102,HEU,False,3,0.6666666666666666,1291300000.0,1.0,0.3333333333333333
8,4,6,102,HEU,False,3,0.3333333333333333,1291300000.0,0.3333333333333333,0.3333333333333333
9,4,6,102,HEU,False,3,0.5,1291300000.0,0.0,1.0
10,4,6,102,HEU,False,3,0.8333333333333334,1291300000.0,1.0,0.6666666666666666
11,4,6,102,HEU,False,3,0.5,1291300000.0,0.6666666666666666,0.3333333333333333
12,4,6,102,HEU,False,3,0.3333333333333333,1291300000.0,0.3333333333333333,0.3333333333333333
13,4,6,102,HEU,False,3,0.6666666666666666,1291300000.0,0.6666666666666666,0.6666666666666666
14,4,6,102,HEU,False,3,0.6666666666666666,1291300000.0,1.0,0.3333333333333333
15,4,6,102,HEU,False,3,0.6666666666666666,1291300000.0,1.0,0.3333333333333333
16,4,6,102,HEU,False,3,0.6666666666666666,1291300000.0,0.6666666666666666,0.6666666666666666
17,4,6,102,HEU,False,3,0.3333333333333333,1291300000.0,0.3333333333333333,0.3333333333333333
18,4,6,102,HEU,False,3,0.6666666666666666,1291300000.0,1.0,0.3333333333333333
19,4,6,102,HEU,False,3,0.6666666666666666,1291300000.0,0.6666666666666666,0.6666666666666666
20,4,6,102,HEU,False,3,1.0,1291300000.0,1.0,1.0
21,4,6,102,HEU,False,3,0.3333333333333333,1291300000.0,0.6666666666666666,0.0
22,4,6,102,HEU,False,3,0.5,1291300000.0,0.3333333333333333,0.6666666666666666
23,4,6,102,HEU,False,3,0.3333333333333333,1291300000.0,0.3333333333333333,0.3333333333333333
24,4,6,102,HEU,False,3,0.3333333333333333,1291300000.0,0.6666666666666666,0.0
25,4,6,102,HEU,False,3,0.6666666666666666,1291300000.0,0.6666666666666666,0.6666666666666666
26,4,6,102,HEU,False,3,0.5,1291300000.0,0.6666666666666666,0.3333333333333333
27,4,6,102,HEU,False,3,0.5,1291300000.0,0.6666666666666666,0.3333333333333333
28,4,6,102,HEU,False,3,0.5,1291300000.0,0.3333333333333333,0.6666666666666666
29,4,6,102,HEU,False,3,0.5,1291300000.0,0.3333333333333333,0.6666666666666666
