qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_qkd,success_probability_pingpong
0,5,6,None,NAIVE,False,1,0.6666666666666666,233570000.0,0.6666666666666666,0.6666666666666666
1,5,6,None,NAIVE,False,1,0.6666666666666666,233550000.0,0.3333333333333333,1.0
2,5,6,None,NAIVE,False,1,0.5,233550000.0,0.3333333333333333,0.6666666666666666
3,5,6,None,NAIVE,False,1,0.3333333333333333,233570000.0,0.3333333333333333,0.3333333333333333
4,5,6,None,NAIVE,False,1,0.16666666666666666,233530000.0,0.3333333333333333,0.0
5,5,6,None,NAIVE,False,1,0.8333333333333334,233590000.0,1.0,0.6666666666666666
6,5,6,None,NAIVE,False,1,1.0,233530000.0,1.0,1.0
7,5,6,None,NAIVE,False,1,0.5,233550000.0,0.3333333333333333,0.6666666666666666
8,5,6,None,NAIVE,False,1,0.5,233610000.0,0.6666666666666666,0.3333333333333333
9,5,6,None,NAIVE,False,1,0.6666666666666666,233550000.0,0.3333333333333333,1.0
10,5,6,None,NAIVE,False,1,0.5,233570000.0,0.3333333333333333,0.6666666666666666
11,5,6,None,NAIVE,False,1,0.3333333333333333,233630000.0,0.3333333333333333,0.3333333333333333
12,5,6,None,NAIVE,False,1,0.5,233610000.0,0.3333333333333333,0.6666666666666666
13,5,6,None,NAIVE,False,1,0.5,233570000.0,0.0,1.0
14,5,6,None,NAIVE,False,1,0.6666666666666666,233590000.0,0.6666666666666666,0.6666666666666666
15,5,6,None,NAIVE,False,1,0.6666666666666666,233550000.0,0.6666666666666666,0.6666666666666666
16,5,6,None,NAIVE,False,1,0.8333333333333334,233590000.0,0.6666666666666666,1.0
17,5,6,None,NAIVE,False,1,0.6666666666666666,233490000.0,0.6666666666666666,0.6666666666666666
18,5,6,None,NAIVE,False,1,0.5,233570000.0,0.6666666666666666,0.3333333333333333
19,5,6,None,NAIVE,False,1,0.8333333333333334,233490000.0,0.6666666666666666,1.0
20,5,6,None,NAIVE,False,1,0.8333333333333334,233570000.0,0.6666666666666666,1.0
21,5,6,None,NAIVE,False,1,0.8333333333333334,233590000.0,1.0,0.6666666666666666
22,5,6,None,NAIVE,False,1,0.8333333333333334,233550000.0,1.0,0.6666666666666666
23,5,6,None,NAIVE,False,1,0.6666666666666666,233550000.0,0.6666666666666666,0.6666666666666666
24,5,6,None,NAIVE,False,1,0.8333333333333334,233530000.0,0.6666666666666666,1.0
25,5,6,None,NAIVE,False,1,0.6666666666666666,233550000.0,1.0,0.3333333333333333
26,5,6,None,NAIVE,False,1,0.6666666666666666,233570000.0,0.6666666666666666,0.6666666666666666
27,5,6,None,NAIVE,False,1,0.8333333333333334,233490000.0,0.6666666666666666,1.0
28,5,6,None,NAIVE,False,1,0.5,233590000.0,0.6666666666666666,0.3333333333333333
29,5,6,None,NAIVE,False,1,0.5,233530000.0,0.3333333333333333,0.6666666666666666
30,5,6,None,NAIVE,False,1,0.3333333333333333,233630000.0,0.3333333333333333,0.3333333333333333
31,5,6,None,NAIVE,False,1,0.6666666666666666,233550000.0,0.6666666666666666,0.6666666666666666
32,5,6,None,NAIVE,False,1,0.6666666666666666,233570000.0,0.6666666666666666,0.6666666666666666
33,5,6,None,NAIVE,False,1,0.6666666666666666,233550000.0,0.6666666666666666,0.6666666666666666
34,5,6,None,NAIVE,False,1,0.5,233550000.0,0.6666666666666666,0.3333333333333333
35,5,6,None,NAIVE,False,1,0.16666666666666666,233610000.0,0.3333333333333333,0.0
36,5,6,None,NAIVE,False,1,0.8333333333333334,233550000.0,0.6666666666666666,1.0
37,5,6,None,NAIVE,False,1,0.8333333333333334,233530000.0,1.0,0.6666666666666666
38,5,6,None,NAIVE,False,1,1.0,233590000.0,1.0,1.0
39,5,6,None,NAIVE,False,1,1.0,233550000.0,1.0,1.0
40,5,6,None,NAIVE,False,1,0.8333333333333334,233610000.0,0.6666666666666666,1.0
41,5,6,None,NAIVE,False,1,0.5,233550000.0,0.3333333333333333,0.6666666666666666
42,5,6,None,NAIVE,False,1,0.8333333333333334,233530000.0,0.6666666666666666,1.0
43,5,6,None,NAIVE,False,1,0.6666666666666666,233550000.0,0.6666666666666666,0.6666666666666666
44,5,6,None,NAIVE,False,1,0.5,233550000.0,0.6666666666666666,0.3333333333333333
45,5,6,None,NAIVE,False,1,0.6666666666666666,233550000.0,1.0,0.3333333333333333
46,5,6,None,NAIVE,False,1,0.8333333333333334,233610000.0,0.6666666666666666,1.0
47,5,6,None,NAIVE,False,1,0.5,233530000.0,0.3333333333333333,0.6666666666666666
48,5,6,None,NAIVE,False,1,0.8333333333333334,233510000.0,0.6666666666666666,1.0
