qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_bqc,success_probability_pingpong,success_probability_qkd
0,6,6,14533,HEU,False,3,0.3333333333333333,221740000.0,0.0,0.5,0.5
1,6,6,14533,HEU,False,3,0.6666666666666666,221760000.0,1.0,0.0,1.0
2,6,6,14533,HEU,False,3,0.5,221720000.0,0.5,0.5,0.5
3,6,6,14533,HEU,False,3,0.5,221740000.0,0.5,0.5,0.5
4,6,6,14533,HEU,False,3,0.5,221760000.0,0.0,1.0,0.5
5,6,6,14533,HEU,False,3,0.8333333333333334,221760000.0,1.0,1.0,0.5
6,6,6,14533,HEU,False,3,0.6666666666666666,221760000.0,1.0,1.0,0.0
7,6,6,14533,HEU,False,3,0.8333333333333334,221720000.0,1.0,1.0,0.5
8,6,6,14533,HEU,False,3,0.5,221740000.0,0.5,0.5,0.5
9,6,6,14533,HEU,False,3,0.8333333333333334,221720000.0,1.0,1.0,0.5
10,6,6,14533,HEU,False,3,0.8333333333333334,221740000.0,1.0,1.0,0.5
11,6,6,14533,HEU,False,3,0.8333333333333334,221720000.0,1.0,1.0,0.5
12,6,6,14533,HEU,False,3,0.5,221720000.0,1.0,0.5,0.0
13,6,6,14533,HEU,False,3,1.0,221680000.0,1.0,1.0,1.0
14,6,6,14533,HEU,False,3,0.6666666666666666,221760000.0,0.5,1.0,0.5
15,6,6,14533,HEU,False,3,0.8333333333333334,221720000.0,1.0,1.0,0.5
16,6,6,14533,HEU,False,3,1.0,221740000.0,1.0,1.0,1.0
17,6,6,14533,HEU,False,3,0.6666666666666666,221700000.0,1.0,0.5,0.5
18,6,6,14533,HEU,False,3,0.5,221780000.0,1.0,0.5,0.0
19,6,6,14533,HEU,False,3,0.5,221780000.0,1.0,0.5,0.0
20,6,6,14533,HEU,False,3,0.8333333333333334,221820000.0,1.0,0.5,1.0
21,6,6,14533,HEU,False,3,0.6666666666666666,221760000.0,1.0,0.5,0.5
22,6,6,14533,HEU,False,3,0.6666666666666666,221760000.0,0.5,1.0,0.5
23,6,6,14533,HEU,False,3,0.6666666666666666,221800000.0,1.0,0.5,0.5
24,6,6,14533,HEU,False,3,0.5,221760000.0,0.5,0.5,0.5
25,6,6,14533,HEU,False,3,0.6666666666666666,221740000.0,0.5,0.5,1.0
26,6,6,14533,HEU,False,3,0.6666666666666666,221740000.0,1.0,0.5,0.5
27,6,6,14533,HEU,False,3,0.6666666666666666,221680000.0,1.0,1.0,0.0
28,6,6,14533,HEU,False,3,0.8333333333333334,221760000.0,1.0,1.0,0.5
29,6,6,14533,HEU,False,3,0.8333333333333334,221800000.0,1.0,1.0,0.5
30,6,6,14533,HEU,False,3,0.3333333333333333,221740000.0,0.0,1.0,0.0
31,6,6,14533,HEU,False,3,0.1666666666666666,221700000.0,0.0,0.5,0.0
32,6,6,14533,HEU,False,3,0.6666666666666666,221760000.0,1.0,1.0,0.0
33,6,6,14533,HEU,False,3,1.0,221720000.0,1.0,1.0,1.0
34,6,6,14533,HEU,False,3,0.3333333333333333,221720000.0,0.5,0.0,0.5
35,6,6,14533,HEU,False,3,0.1666666666666666,221720000.0,0.5,0.0,0.0
