qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_bqc,success_probability_pingpong,success_probability_qkd
0,6,6,None,NAIVE,False,1,0.6666666666666666,442100000.0,0.5,0.5,1.0
1,6,6,None,NAIVE,False,1,0.16666666666666666,442100000.0,0.0,0.5,0.0
2,6,6,None,NAIVE,False,1,1.0,442100000.0,1.0,1.0,1.0
3,6,6,None,NAIVE,False,1,0.5,442100000.0,0.5,1.0,0.0
4,6,6,None,NAIVE,False,1,0.3333333333333333,442100000.0,0.5,0.5,0.0
5,6,6,None,NAIVE,False,1,0.6666666666666666,442100000.0,1.0,0.5,0.5
6,6,6,None,NAIVE,False,1,1.0,442100000.0,1.0,1.0,1.0
7,6,6,None,NAIVE,False,1,0.3333333333333333,442100000.0,0.5,0.5,0.0
8,6,6,None,NAIVE,False,1,0.8333333333333334,442100000.0,1.0,1.0,0.5
9,6,6,None,NAIVE,False,1,0.8333333333333334,442100000.0,1.0,0.5,1.0
10,6,6,None,NAIVE,False,1,0.16666666666666666,442100000.0,0.0,0.5,0.0
11,6,6,None,NAIVE,False,1,0.8333333333333334,442100000.0,0.5,1.0,1.0
12,6,6,None,NAIVE,False,1,1.0,442100000.0,1.0,1.0,1.0
13,6,6,None,NAIVE,False,1,0.8333333333333334,442100000.0,0.5,1.0,1.0
14,6,6,None,NAIVE,False,1,0.6666666666666666,442100000.0,1.0,1.0,0.0
15,6,6,None,NAIVE,False,1,0.16666666666666666,442100000.0,0.5,0.0,0.0
16,6,6,None,NAIVE,False,1,0.3333333333333333,442100000.0,0.5,0.0,0.5
17,6,6,None,NAIVE,False,1,0.6666666666666666,442100000.0,1.0,0.5,0.5
18,6,6,None,NAIVE,False,1,0.6666666666666666,442100000.0,1.0,1.0,0.0
19,6,6,None,NAIVE,False,1,0.5,442100000.0,0.5,0.5,0.5
20,6,6,None,NAIVE,False,1,0.3333333333333333,442100000.0,0.5,0.5,0.0
21,6,6,None,NAIVE,False,1,0.8333333333333334,442100000.0,1.0,1.0,0.5
22,6,6,None,NAIVE,False,1,0.5,442100000.0,1.0,0.5,0.0
