qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_bqc,success_probability_pingpong,success_probability_qkd
0,6,6,10199,OPT,False,3,0.3333333333333333,219150000.0,0.0,0.0,1.0
1,6,6,10199,OPT,False,3,0.5,219150000.0,0.5,0.5,0.5
2,6,6,10199,OPT,False,3,0.8333333333333334,219150000.0,0.5,1.0,1.0
3,6,6,10199,OPT,False,3,0.6666666666666666,219150000.0,0.5,1.0,0.5
4,6,6,10199,OPT,False,3,1.0,219150000.0,1.0,1.0,1.0
5,6,6,10199,OPT,False,3,0.6666666666666666,219150000.0,0.0,1.0,1.0
6,6,6,10199,OPT,False,3,0.6666666666666666,219130000.0,0.5,1.0,0.5
7,6,6,10199,OPT,False,3,0.8333333333333334,219170000.0,1.0,1.0,0.5
8,6,6,10199,OPT,False,3,0.6666666666666666,219210000.0,0.5,1.0,0.5
9,6,6,10199,OPT,False,3,0.8333333333333334,219170000.0,1.0,1.0,0.5
10,6,6,10199,OPT,False,3,0.6666666666666666,219170000.0,1.0,0.5,0.5
11,6,6,10199,OPT,False,3,0.5,219170000.0,0.5,0.5,0.5
12,6,6,10199,OPT,False,3,0.8333333333333334,219150000.0,1.0,0.5,1.0
13,6,6,10199,OPT,False,3,0.8333333333333334,219130000.0,1.0,1.0,0.5
14,6,6,10199,OPT,False,3,0.8333333333333334,219150000.0,0.5,1.0,1.0
15,6,6,10199,OPT,False,3,0.8333333333333334,219170000.0,0.5,1.0,1.0
16,6,6,10199,OPT,False,3,0.8333333333333334,219210000.0,0.5,1.0,1.0
17,6,6,10199,OPT,False,3,0.6666666666666666,219170000.0,0.5,1.0,0.5
18,6,6,10199,OPT,False,3,0.8333333333333334,219190000.0,1.0,1.0,0.5
19,6,6,10199,OPT,False,3,0.8333333333333334,219170000.0,1.0,0.5,1.0
20,6,6,10199,OPT,False,3,0.5,219170000.0,0.5,0.5,0.5
21,6,6,10199,OPT,False,3,0.5,219150000.0,0.5,0.5,0.5
22,6,6,10199,OPT,False,3,0.5,219210000.0,1.0,0.0,0.5
23,6,6,10199,OPT,False,3,1.0,219190000.0,1.0,1.0,1.0
24,6,6,10199,OPT,False,3,0.6666666666666666,219190000.0,0.0,1.0,1.0
25,6,6,10199,OPT,False,3,0.6666666666666666,219130000.0,1.0,1.0,0.0
26,6,6,10199,OPT,False,3,0.6666666666666666,219110000.0,0.5,0.5,1.0
27,6,6,10199,OPT,False,3,0.6666666666666666,219130000.0,0.5,0.5,1.0
28,6,6,10199,OPT,False,3,0.8333333333333334,219170000.0,0.5,1.0,1.0
29,6,6,10199,OPT,False,3,0.1666666666666666,219170000.0,0.0,0.0,0.5
