dataset_id,n_sessions,ns_id,length_factor,schedule_type,role,bqc_sessions,pingpong_sessions,qkd_sessions,solve_time,makespan,PUF_both,PUF_CPU,PUF_QPU
0,12,,1,NAIVE,alice,12,0,0,1.1403462886810305,631200000,1.0,0.2167300380228136,0.7832699619771863
0,12,,1,NAIVE,bob,12,0,0,1.2901160717010498,769200000,1.0,0.3182527301092043,0.6817472698907956
1,12,,1,NAIVE,alice,0,12,0,1.2916436195373535,760800000,1.0,0.3217665615141956,0.6782334384858044
1,12,,1,NAIVE,bob,0,12,0,1.2207024097442627,771600000,1.0,0.3157076205287714,0.6842923794712286
2,12,,1,NAIVE,alice,0,0,12,2.598275899887085,1113600000,1.0,0.334051724137931,0.665948275862069
2,12,,1,NAIVE,bob,0,0,12,2.622236967086792,1113600000,1.0,0.334051724137931,0.665948275862069
3,12,,1,NAIVE,alice,6,6,0,1.1878042221069336,696000000,1.0,0.2741379310344827,0.7258620689655172
3,12,,1,NAIVE,bob,6,6,0,1.2458109855651855,770400000,1.0,0.3169781931464174,0.6830218068535826
4,12,,1,NAIVE,alice,6,0,6,1.847254037857056,872400000,1.0,0.2916093535075653,0.7083906464924347
4,12,,1,NAIVE,bob,6,0,6,1.951642990112305,941400000,1.0,0.3275971956660293,0.6724028043339707
5,12,,1,NAIVE,alice,0,6,6,1.8804643154144287,937200000,1.0,0.3290653008962868,0.6709346991037132
5,12,,1,NAIVE,bob,0,6,6,1.7985975742340088,942600000,1.0,0.3265436028007638,0.6734563971992361
6,12,,1,NAIVE,alice,4,4,4,1.6265869140625,835200000,1.0,0.3007662835249042,0.6992337164750958
6,12,,1,NAIVE,bob,4,4,4,1.6469285488128662,884800000,1.0,0.3241410488245931,0.6758589511754068
