dataset_id,n_sessions,ns_id,length_factor,schedule_type,role,bqc_sessions,pingpong_sessions,qkd_sessions,solve_time,makespan,PUF_both,PUF_CPU,PUF_QPU
0,6,8.0,3.0,HEU,alice,6,0,0,1.8470549583435056,952000000,0.3315126050420168,0.0718487394957983,0.2596638655462185
0,6,8.0,3.0,HEU,bob,6,0,0,1.972111701965332,962300000,0.3996674633690117,0.1271952613530084,0.2724722020160033
0,6,20.0,3.0,HEU,alice,6,0,0,1.827490329742432,1152000000,0.2739583333333333,0.059375,0.2145833333333333
0,6,20.0,3.0,HEU,bob,6,0,0,1.944108724594116,1162300000,0.3308956379592188,0.1053084401617482,0.2255871977974705
0,6,21.0,3.0,HEU,alice,6,0,0,1.8395681381225584,1112000000,0.2838129496402877,0.0615107913669064,0.2223021582733813
0,6,21.0,3.0,HEU,bob,6,0,0,1.95008397102356,1122300000,0.3426891205560011,0.1090617481956696,0.2336273723603314
0,6,51.0,3.0,HEU,alice,6,0,0,1.8177869319915767,1112000000,0.2838129496402877,0.0615107913669064,0.2223021582733813
0,6,51.0,3.0,HEU,bob,6,0,0,1.9531195163726809,1122300000,0.3426891205560011,0.1090617481956696,0.2336273723603314
0,6,68.0,3.0,HEU,alice,6,0,0,1.862288475036621,992000000,0.3181451612903225,0.0689516129032258,0.2491935483870967
0,6,68.0,3.0,HEU,bob,6,0,0,1.9757990837097168,1002300000,0.3837174498653098,0.1221191260101765,0.2615983238551332
0,6,90.0,3.0,HEU,alice,6,0,0,1.911308765411377,1112000000,0.2838129496402877,0.0615107913669064,0.2223021582733813
0,6,90.0,3.0,HEU,bob,6,0,0,1.9624106884002688,1122300000,0.3426891205560011,0.1090617481956696,0.2336273723603314
0,6,121.0,3.0,HEU,alice,6,0,0,1.872157096862793,1152000000,0.2739583333333333,0.059375,0.2145833333333333
0,6,121.0,3.0,HEU,bob,6,0,0,1.9598004817962649,1162300000,0.3308956379592188,0.1053084401617482,0.2255871977974705
0,6,128.0,3.0,HEU,alice,6,0,0,1.8562805652618408,1132000000,0.2787985865724381,0.0604240282685512,0.2183745583038869
0,6,128.0,3.0,HEU,bob,6,0,0,1.9642841815948489,1142300000,0.3366891359537775,0.1071522367153987,0.2295368992383787
0,6,143.0,3.0,HEU,alice,6,0,0,1.8629295825958248,1152000000,0.2739583333333333,0.059375,0.2145833333333333
0,6,143.0,3.0,HEU,bob,6,0,0,1.976219654083252,1162300000,0.3308956379592188,0.1053084401617482,0.2255871977974705
0,6,162.0,3.0,HEU,alice,6,0,0,1.839448928833008,1012000000,0.3118577075098814,0.0675889328063241,0.2442687747035573
0,6,162.0,3.0,HEU,bob,6,0,0,2.015366792678833,1022300000,0.3762105057223907,0.1197300205419152,0.2564804851804754
0,6,169.0,3.0,HEU,alice,6,0,0,1.8714909553527832,932000000,0.3386266094420601,0.0733905579399141,0.2652360515021459
0,6,169.0,3.0,HEU,bob,6,0,0,1.9902596473693848,942300000,0.4081502706144539,0.1298949379178605,0.2782553326965934
0,6,172.0,3.0,HEU,alice,6,0,0,1.83821964263916,1132000000,0.2787985865724381,0.0604240282685512,0.2183745583038869
0,6,172.0,3.0,HEU,bob,6,0,0,1.9821362495422363,1142300000,0.3366891359537775,0.1071522367153987,0.2295368992383787
0,6,229.0,3.0,HEU,alice,6,0,0,1.825544834136963,1012000000,0.3118577075098814,0.0675889328063241,0.2442687747035573
0,6,229.0,3.0,HEU,bob,6,0,0,1.9562397003173828,1022300000,0.3762105057223907,0.1197300205419152,0.2564804851804754
0,6,230.0,3.0,HEU,alice,6,0,0,1.8582210540771484,1092000000,0.289010989010989,0.0626373626373626,0.2263736263736263
0,6,230.0,3.0,HEU,bob,6,0,0,1.9675838947296145,1102300000,0.3489068311711875,0.1110405515739816,0.2378662795972058
0,6,241.0,3.0,HEU,alice,6,0,0,1.869052171707153,1032000000,0.3058139534883721,0.0662790697674418,0.2395348837209302
0,6,241.0,3.0,HEU,bob,6,0,0,1.996654033660889,1042300000,0.3689916530749304,0.117432600978605,0.2515590520963254
0,6,252.0,3.0,HEU,alice,6,0,0,1.86518669128418,1052000000,0.3,0.0650190114068441,0.2349809885931559
0,6,252.0,3.0,HEU,bob,6,0,0,2.0064001083374023,1062300000,0.3620446201637955,0.1152216887884778,0.2468229313753177
0,6,279.0,3.0,HEU,alice,6,0,0,1.874827146530152,1132000000,0.2787985865724381,0.0604240282685512,0.2183745583038869
0,6,279.0,3.0,HEU,bob,6,0,0,1.9902241230010984,1142300000,0.3366891359537775,0.1071522367153987,0.2295368992383787
0,6,281.0,3.0,HEU,alice,6,0,0,1.8431432247161863,1132000000,0.2787985865724381,0.0604240282685512,0.2183745583038869
0,6,281.0,3.0,HEU,bob,6,0,0,1.9290945529937744,1142300000,0.3366891359537775,0.1071522367153987,0.2295368992383787
